player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,season,week,data_src_lower
Joshua Dobbs,NE,0.8,0.6,5.3,0.1,0.0,0.2,0.8,0.0,0.0,0.5,16417,FantasyPros,QB,13119,2024,1,fantasypros
Jarrett Stidham,DEN,0.9,0.5,5.6,0.1,0.0,0.2,0.6,0.0,0.0,0.5,18604,FantasyPros,QB,14063,2024,1,fantasypros
Mac Jones,SF,0.8,0.5,5.9,0.1,0.0,0.2,0.6,0.0,0.0,0.5,20156,FantasyPros,QB,15241,2024,1,fantasypros
Sam Howell,PHI,0.6,0.4,5.1,0.1,0.0,0.2,0.9,0.0,0.0,0.5,23045,FantasyPros,QB,15693,2024,1,fantasypros
Malik Willis,GB,0.8,0.4,5.5,0.1,0.0,0.2,0.8,0.0,0.0,0.5,23499,FantasyPros,QB,15694,2024,1,fantasypros
Jimmy Garoppolo,LAR,0.8,0.5,6.3,0.1,0.0,0.1,0.2,0.0,0.0,0.5,12208,FantasyPros,QB,11760,2024,1,fantasypros
Joe Milton III,DAL,0.9,0.6,6.0,0.1,0.0,0.1,0.5,0.0,0.0,0.5,25967,FantasyPros,QB,16585,2024,1,fantasypros
Andy Dalton,CAR,0.8,0.6,5.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,9907,FantasyPros,QB,10313,2024,1,fantasypros
Davis Mills,HOU,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,22799,FantasyPros,QB,15252,2024,1,fantasypros
Mitchell Trubisky,BUF,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,16381,FantasyPros,QB,13115,2024,1,fantasypros
Kenny Pickett,LV,0.9,0.6,5.7,0.1,0.0,0.1,0.5,0.0,0.0,0.5,22722,FantasyPros,QB,15692,2024,1,fantasypros
Kirk Cousins,ATL,0.8,0.6,6.2,0.1,0.0,0.2,0.3,0.0,0.0,0.5,11177,FantasyPros,QB,10700,2024,1,fantasypros
Tyrod Taylor,NYJ,0.8,0.5,5.0,0.1,0.0,0.1,0.5,0.0,0.0,0.5,10007,FantasyPros,QB,10413,2024,1,fantasypros
Tyson Bagent,CHI,0.8,0.5,4.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,25321,FantasyPros,QB,16384,2024,1,fantasypros
Teddy Bridgewater,TB,0.6,0.5,4.7,0.1,0.0,0.1,0.3,0.0,0.0,0.5,12088,FantasyPros,QB,11640,2024,1,fantasypros
Tyler Shough,NO,0.8,0.5,4.9,0.1,0.0,0.1,0.5,0.0,0.0,0.4,23096,FantasyPros,QB,17039,2024,1,fantasypros
Brandon Allen,TEN,0.7,0.5,4.8,0.1,0.0,0.1,0.3,0.0,0.0,0.4,15745,FantasyPros,QB,12621,2024,1,fantasypros
Drew Lock,SEA,0.7,0.5,4.6,0.1,0.1,0.1,0.5,0.0,0.0,0.4,18225,FantasyPros,QB,14057,2024,1,fantasypros
Dillon Gabriel,CLE,0.6,0.4,3.7,0.1,0.0,0.1,0.3,0.0,0.0,0.4,23150,FantasyPros,QB,17037,2024,1,fantasypros
Trey Lance,LAC,0.8,0.5,5.0,0.0,0.0,0.2,0.6,0.0,0.0,0.3,20082,FantasyPros,QB,15240,2024,1,fantasypros
Kyle Allen,DET,0.5,0.4,4.8,0.0,0.0,0.1,0.1,0.0,0.0,0.2,17869,FantasyPros,QB,13879,2024,1,fantasypros
