"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Christian McCaffrey","RB","SF",20.1,1.85,2.63,17.4,22.1,12.8,12.4,13.6,1,1,1,1,"1",NA,NA,85
"Jahmyr Gibbs","RB","DET",17.4,0.881,0.179,16.2,18.4,10.1,11.2,9.95,2,2,3,2,"1",NA,NA,21
"Jonathan Taylor","RB","IND",17.3,1.11,0.352,15.6,18.1,9.96,10.5,9.67,3,4,4,3,"1",NA,NA,38
"Saquon Barkley","RB","PHI",16.9,1.13,0.0913,15.2,17.9,9.61,10.1,9.45,4,5,5,4,"1",NA,NA,42
"Josh Jacobs","RB","GB",16.8,1.42,0.181,14.6,17.6,9.52,9.59,9.18,5,6,7,5,"1",NA,NA,62
"James Cook","RB","BUF",16.6,0.942,0.255,15.7,17.9,9.34,10.7,9.39,6,3,6,6,"1",NA,NA,27
"Devon Achane","RB","MIA",16.4,2.22,0.01,13.5,18.9,9.08,8.5,10.4,7,10,2,7,"1",NA,NA,93
"Bijan Robinson","RB","ATL",16.4,1.57,0.391,14,17.6,9.07,8.98,9.11,8,9,8,8,"2",NA,NA,70
"Derrick Henry","RB","BAL",16,1.21,0.808,14.2,17.2,8.68,9.21,8.73,9,8,9,9,"3",NA,NA,51
"Kyren Williams","RB","LAR",15.2,0.592,0.735,14.5,16,7.87,9.5,7.54,10,7,13,10,"3",NA,NA,4
"Puka Nacua","WR","LAR",16.5,1.29,0.866,14.8,18,7.18,7.14,7.22,11,12,16,1,"1",NA,NA,58
"Omarion Hampton","RB","LAC",14.4,1.54,0.0149,12.2,16.1,7.14,7.15,7.68,12,11,12,11,"3",NA,NA,69
"Bucky Irving","RB","TB",14.4,2.06,0.478,11.7,16.4,7.12,6.7,7.94,13,16,11,12,"4",NA,NA,92
"J.K. Dobbins","RB","DEN",13.9,1.46,0.427,12,15.8,6.64,7,7.32,14,13,14,13,"4",NA,NA,65
"Amon-Ra St. Brown","WR","DET",15.7,0.949,0.675,14.5,16.8,6.31,6.86,6,15,14,19,2,"1",NA,NA,23
"Jordan Mason","RB","MIN",13.5,2.9,0.0809,9.47,16.5,6.22,4.44,8.04,16,33,10,14,"4",NA,NA,99
"Ashton Jeanty","RB","LVR",13.4,1.58,0.409,11.7,15.7,6.14,6.65,7.24,17,17,15,15,"4",NA,NA,73
"Jaylen Warren","RB","PIT",13,1.04,0.085,11.9,14.2,5.73,6.83,5.77,18,15,22,16,"5",NA,NA,35
"Breece Hall","RB","NYJ",12.9,0.979,0.664,11.7,13.8,5.64,6.63,5.38,19,18,25,17,"5",NA,NA,31
"Nico Collins","WR","HOU",15,1.69,0.541,13.4,17.3,5.64,5.68,6.47,20,21,18,3,"2",NA,NA,83
"Josh Allen","QB","BUF",24.2,1.3,0.619,22.4,25.7,5.61,5.91,5.29,21,19,27,1,"1",NA,NA,31
"Malik Nabers","WR","NYG",14.4,2.08,0.365,12.6,17.4,5.1,4.96,6.58,22,27,17,4,"2",NA,NA,92
"Lamar Jackson","QB","BAL",23.6,0.875,2.2,22.3,24.4,5,5.82,4.01,23,20,37,2,"2",NA,NA,9
"Chuba Hubbard","RB","CAR",12.3,1.71,0.0273,9.9,14.4,4.98,4.87,5.89,24,28,21,18,"5",NA,NA,80
"Quinshon Judkins","RB","CLE",12.2,1.63,0.0703,9.82,13.8,4.95,4.8,5.3,25,29,26,19,"5",NA,NA,76
"Cam Skattebo","RB","NYG",12.2,1.92,0.135,9.82,14.4,4.88,4.8,5.91,26,30,20,20,"5",NA,NA,89
"Chase Brown","RB","CIN",12,1.03,0.0917,10.5,12.9,4.75,5.47,4.43,27,22,33,21,"5",NA,NA,34
"Davante Adams","WR","LAR",14.1,1.83,0.372,11.8,16.4,4.73,4.1,5.61,28,38,23,5,"3",NA,NA,85
"Tony Pollard","RB","TEN",12,1.39,0.0533,10,13.1,4.65,5.01,4.65,29,26,28,22,"5",NA,NA,56
"Kenneth Walker III","RB","SEA",11.9,1.91,0.0646,9.24,14,4.6,4.21,5.49,30,36,24,23,"6",NA,NA,87
"D'Andre Swift","RB","CHI",11.8,1.27,0.0316,10.1,13.1,4.54,5.03,4.58,31,25,31,24,"6",NA,NA,52
"Alvin Kamara","RB","NO",11.8,1.1,0.199,10.2,13.1,4.5,5.21,4.61,32,24,30,25,"6",NA,NA,37
"Jaxon Smith-Njigba","WR","SEA",13.7,1.23,0.324,11.9,14.9,4.36,4.26,4.12,33,34,36,6,"3",NA,NA,52
"David Montgomery","RB","DET",11.6,1.12,0.261,10.3,13.1,4.31,5.23,4.62,34,23,29,26,"6",NA,NA,41
"Trey McBride","TE","ARI",11.4,0.779,0.628,10.2,12.1,4.29,4.48,4.22,35,32,35,1,"1",NA,NA,43
"Nick Chubb","RB","HOU",11.3,1.5,0.159,9.09,12.5,4.04,4.06,4,36,39,38,27,"6",NA,NA,68
"Ja'Marr Chase","WR","CIN",13.4,1.06,0.225,11.8,14.4,4.04,4.17,3.57,37,37,43,7,"3",NA,NA,34
"Javonte Williams","RB","DAL",11.2,1.34,0.203,9.29,12.4,3.88,4.26,3.9,38,35,40,28,"6",NA,NA,55
"Justin Jefferson","WR","MIN",13.2,0.995,0.551,11.6,13.8,3.81,3.91,3,39,40,47,8,"4",NA,NA,24
"Trey Benson","RB","ARI",11,0.933,0.447,9.61,11.8,3.68,4.58,3.37,40,31,44,29,"7",NA,NA,25
"Brock Bowers","TE","LVR",10.8,0.927,0.941,9.61,11.9,3.67,3.84,3.99,41,41,39,2,"2",NA,NA,49
