player,pos,team,season,week,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,source_count,total_weight,provider,asof_date,player_id,position_final,horizon
Joshua Dobbs,QB,NE,2024,1,0.8,0.6,5.3,0.1,0.0,0.2,0.8,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,13119.0,QB,weekly
Justin Fields,QB,NYJ,2024,1,28.9,17.8,194.8,1.0,0.8,7.4,39.9,0.4,0.3,16.5,1,0.1305,ffanalytics_consensus,2025-10-25,15238.0,QB,weekly
Justin Herbert,QB,LAC,2024,1,31.800000000000004,20.7,231.8,1.4,0.4,3.9,16.8,0.1,0.2,16.5,1,0.1305,ffanalytics_consensus,2025-10-25,14779.0,QB,weekly
Kenny Pickett,QB,LV,2024,1,0.9,0.6,5.7,0.1,0.0,0.1,0.5,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,15692.0,QB,weekly
Kirk Cousins,QB,ATL,2024,1,0.8,0.6,6.2,0.1,0.0,0.2,0.3,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,10700.0,QB,weekly
Kyle Allen,QB,DET,2024,1,0.5,0.4,4.8,0.0,0.0,0.1,0.1,0.0,0.0,0.2,1,0.1305,ffanalytics_consensus,2025-10-25,13879.0,QB,weekly
Kyler Murray,QB,ARI,2024,1,32.4,21.5,234.4,1.4,0.8,5.5,35.7,0.3,0.2,18.9,1,0.1305,ffanalytics_consensus,2025-10-25,14056.0,QB,weekly
Lamar Jackson,QB,BAL,2024,1,29.2,20.0,235.9,1.8,0.4,7.9,51.3,0.2,0.3,22.4,1,0.1305,ffanalytics_consensus,2025-10-25,15125.0,CB,weekly
Lamar Jackson,QB,BAL,2024,1,29.2,20.0,235.9,1.8,0.4,7.9,51.3,0.2,0.3,22.4,1,0.1305,ffanalytics_consensus,2025-10-25,13593.0,QB,weekly
Mac Jones,QB,SF,2024,1,0.8,0.5,5.9,0.1,0.0,0.2,0.6,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,15241.0,QB,weekly
Malik Willis,QB,GB,2024,1,0.8,0.4,5.5,0.1,0.0,0.2,0.8,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,15694.0,QB,weekly
Marcus Mariota,QB,WAS,2024,1,0.8,0.6,5.9,0.1,0.0,0.2,0.9,0.0,0.0,0.6,1,0.1305,ffanalytics_consensus,2025-10-25,12141.0,QB,weekly
Mason Rudolph,QB,PIT,2024,1,0.7,0.5,5.1,0.0,0.0,1.4,6.3,0.1,0.0,1.3,1,0.1305,ffanalytics_consensus,2025-10-25,13595.0,QB,weekly
Matthew Stafford,QB,LAR,2024,1,32.4,20.5,238.5,1.5,0.6,1.8,4.2,0.0,0.1,15.4,1,0.1305,ffanalytics_consensus,2025-10-25,9431.0,QB,weekly
Michael Penix Jr.,QB,ATL,2024,1,32.1,20.8,234.7,1.3,0.8,3.2,11.1,0.2,0.2,15.500000000000002,1,0.1305,ffanalytics_consensus,2025-10-25,16583.0,QB,weekly
Mitchell Trubisky,QB,BUF,2024,1,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,13115.0,QB,weekly
Nick Mullens,QB,JAC,2024,1,0.8,0.6,6.4,0.1,0.0,0.2,0.6,0.0,0.0,0.6,1,0.1305,ffanalytics_consensus,2025-10-25,13968.0,QB,weekly
Patrick Mahomes II,QB,KC,2024,1,35.7,24.2,253.99999999999997,1.7,0.6,4.5,22.6,0.1,0.1,19.4,1,0.1305,ffanalytics_consensus,2025-10-25,-1.0,QB,weekly
Russell Wilson,QB,NYG,2024,1,31.900000000000002,20.3,226.1,1.3,0.7,3.6,14.9,0.1,0.2,15.4,1,0.1305,ffanalytics_consensus,2025-10-25,10703.0,QB,weekly
Sam Darnold,QB,SEA,2024,1,32.6,21.2,229.5,1.3,1.0,3.6,12.5,0.1,0.2,14.9,1,0.1305,ffanalytics_consensus,2025-10-25,13592.0,QB,weekly
Sam Howell,QB,PHI,2024,1,0.6,0.4,5.1,0.1,0.0,0.2,0.9,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,15693.0,QB,weekly
Spencer Rattler,QB,NO,2024,1,31.5,19.3,209.9,1.1,0.8,3.7,19.4,0.1,0.3,13.6,1,0.1305,ffanalytics_consensus,2025-10-25,16586.0,QB,weekly
Teddy Bridgewater,QB,TB,2024,1,0.6,0.5,4.7,0.1,0.0,0.1,0.3,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,11640.0,QB,weekly
Trevor Lawrence,QB,JAC,2024,1,30.8,20.0,237.0,1.5,0.8,3.5,17.5,0.2,0.2,17.5,1,0.1305,ffanalytics_consensus,2025-10-25,15237.0,QB,weekly
Trey Lance,QB,LAC,2024,1,0.8,0.5,5.0,0.0,0.0,0.2,0.6,0.0,0.0,0.3,1,0.1305,ffanalytics_consensus,2025-10-25,15240.0,QB,weekly
Tua Tagovailoa,QB,MIA,2024,1,34.5,24.3,255.8,1.6,0.8,1.8,5.8,0.0,0.2,16.1,1,0.1305,ffanalytics_consensus,2025-10-25,14778.0,QB,weekly
Tyler Shough,QB,NO,2024,1,0.8,0.5,4.9,0.1,0.0,0.1,0.5,0.0,0.0,0.4,1,0.1305,ffanalytics_consensus,2025-10-25,17039.0,QB,weekly
Tyrod Taylor,QB,NYJ,2024,1,0.8,0.5,5.0,0.1,0.0,0.1,0.5,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,10413.0,QB,weekly
Tyson Bagent,QB,CHI,2024,1,0.8,0.5,4.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,16384.0,QB,weekly
Zach Wilson,QB,MIA,2024,1,0.9,0.7,6.5,0.1,0.0,0.2,0.8,0.0,0.0,0.6,1,0.1305,ffanalytics_consensus,2025-10-25,15239.0,QB,weekly
