gm,player,position,year,dead_cap_amount
Kevin Eichenbaum,Jerome Ford,RB,2025,3.0
Kevin Eichenbaum,Jaleel McLaughlin,RB,2025,2.0
Kevin Eichenbaum,Nick Chubb,RB,2025,24.0
Kevin Eichenbaum,Joshua Kelley,RB,2025,1.0
Kevin Eichenbaum,Gus Edwards,RB,2025,2.0
Kevin Eichenbaum,Elijah Mitchell,RB,2025,2.0
Kevin Eichenbaum,DJ Giddens,RB,2025,1.0
Kevin Eichenbaum,Tre Tucker,WR,2025,1.0
Kevin Eichenbaum,Devaugh Vele,WR,2025,1.0
Kevin Eichenbaum,Wan'Dale Robinson,WR,2025,1.0
Kevin Eichenbaum,Michael Wilson,WR,2025,1.0
Kevin Eichenbaum,Rashid Shaheed,WR,2025,1.0
Kevin Eichenbaum,Robert Woods,WR,2025,1.0
Kevin Eichenbaum,K.J. Osborn,WR,2025,1.0
Kevin Eichenbaum,Tyquan Thornton,WR,2025,1.0
Kevin Eichenbaum,Isaiah Likely,TE,2025,3.0
Kevin Eichenbaum,Jake Ferguson,TE,2025,1.0
Kevin Eichenbaum,Jermaine Johnson II,DL,2025,1.0
Kevin Eichenbaum,Haason Reddick,DL,2025,2.0
Kevin Eichenbaum,Jalen Carter,DL,2025,1.0
Kevin Eichenbaum,Dorian Williams,LB,2025,1.0
Kevin Eichenbaum,Josey Jewell,LB,2025,1.0
Kevin Eichenbaum,Christian Gonzalez,DB,2025,1.0
Kevin Eichenbaum,Trevon Diggs,DB,2025,1.0
Kevin Eichenbaum,C.J. Gardner-Johnson,DB,2025,1.0
Kevin Eichenbaum,Tykee Smith,DB,2025,1.0
Kevin Eichenbaum,Marlon Humphrey,DB,2025,1.0
Kevin Eichenbaum,Clevland Browns,D/ST,2025,1.0
Nick McCreary,Chase Edmonds,RB,2025,3.0
Nick McCreary,Jonathan Mingo,WR,2025,1.0
Nick McCreary,Michael Meyer,TE,2025,1.0
Nick Piper,Anthony Richardson,QB,2025,2.0
Nick Piper,Dameon Pierce,RB,2025,1.0
Nick Piper,Carson Steele,RB,2025,1.0
Nick Piper,Christian Kirk,WR,2025,7.0
Nick Piper,Jacob Cowing,WR,2025,1.0
Nick Piper,Jordan Whittington,WR,2025,1.0
Nick Piper,Treylon Burks,WR,2025,1.0
Nick Piper,Jalin Hyatt,WR,2025,1.0
Nick Piper,Erick All,TE,2025,1.0
Nick Piper,Jake Ferguson,TE,2025,1.0
Nick Piper,Noah Fant,TE,2025,1.0
Nick Piper,Cole Kmet,TE,2025,2.0
Nick Piper,Evan Engram,TE,2025,1.0
Nick Piper,Brevin Jordan,TE,2025,1.0
Nick Piper,Darren Waller,TE,2025,1.0
Nick Piper,Jalen Carter,DL,2025,1.0
Nick Piper,Jaelan Phillips,DL,2025,1.0
Nick Piper,Montez Sweat,DL,2025,1.0
Nick Piper,Kayvon Thibodeaux,LB,2025,1.0
Nick Piper,Devin White,LB,2025,2.0
Nick Piper,Blake Cashman,LB,2025,1.0
Nick Piper,Derek Stingley,DB,2025,1.0
Nick Piper,Tariq Woolen,DB,2025,1.0
Nick Piper,Baltimore Ravens,D/ST,2025,1.0
Nick Piper,Green Bay Packers,D/ST,2025,1.0
TJ Hrabek,Justin Fields,QB,2025,2.0
TJ Hrabek,Joe Mixon,RB,2025,8.0
TJ Hrabek,Devin Neal,RB,2025,2.0
TJ Hrabek,Miles Sanders,RB,2025,5.0
TJ Hrabek,Emari Demercado,RB,2025,3.0
TJ Hrabek,Jaleel McLaughlin,RB,2025,2.0
TJ Hrabek,Ty Chandler,RB,2025,1.0
TJ Hrabek,Dameon Pierce,RB,2025,8.0
TJ Hrabek,Evan Hull,RB,2025,1.0
TJ Hrabek,Emanuel Wilson,RB,2025,1.0
TJ Hrabek,DeAndre Hopkins,WR,2025,5.0
TJ Hrabek,Tyler Lockett,WR,2025,1.0
TJ Hrabek,Evan Engram,TE,2025,2.0
TJ Hrabek,Jelani Woods,TE,2025,2.0
TJ Hrabek,Taysom Hill,TE,2025,1.0
TJ Hrabek,Bradley Chubb,DL,2025,1.0
TJ Hrabek,Boye Mafe,DL,2025,1.0
TJ Hrabek,Keion White,DL,2025,1.0
TJ Hrabek,Josh Sweat,DL,2025,1.0
TJ Hrabek,Harold Landry,DL,2025,2.0
TJ Hrabek,Kwity Paye,DL,2025,1.0
TJ Hrabek,Quinnen Williams,DL,2025,1.0
TJ Hrabek,Shaquille Leonard,LB,2025,3.0
TJ Hrabek,Nik Bonitto,LB,2025,1.0
TJ Hrabek,Patrick Queen,LB,2025,1.0
TJ Hrabek,Daiyan Henley,LB,2025,1.0
TJ Hrabek,Robert Spillane,LB,2025,1.0
TJ Hrabek,Jessie Bates III,DB,2025,8.0
TJ Hrabek,Christian Gonzalez,DB,2025,1.0
TJ Hrabek,Jourdan Lewis,DB,2025,1.0
TJ Hrabek,Marcus Williams,DB,2025,1.0
TJ Hrabek,Devon Witherspoon,DB,2025,1.0
TJ Hrabek,Nick Cross,DB,2025,1.0
TJ Hrabek,Jaylon Jones,DB,2025,1.0
TJ Hrabek,Jalen Pitre,DB,2025,1.0
TJ Hrabek,Philadelphia Eagles,D/ST,2025,1.0
TJ Hrabek,Philadelphia Eagles (x2),D/ST,2025,1.0
TJ Hrabek,Pittsburgh Steelers,D/ST,2025,1.0
TJ Hrabek,Spencer Shrader,K,2025,1.0
TJ Hrabek,Chase McLaughlin,K,2025,1.0
TJ Hrabek,Jake Bates,K,2025,1.0
Andy Shepard,Daniel Jones,QB,2026,1.0
Andy Shepard,Cordarrelle Patterson,RB,2026,3.0
Andy Shepard,Kimani Vidal,RB,2026,1.0
Andy Shepard,Dylan Laube,RB,2026,1.0
Andy Shepard,Albert Okwuegbunam,TE,2026,1.0
Andy Shepard,Zaven Collins,DL,2026,1.0
Chip Buckley,Amari Cooper,WR,2026,10.0
Chip Buckley,Tyler Lockett,WR,2026,2.0
Chip Buckley,Donovan Peoples-Jones,WR,2026,1.0
Chip Buckley,Cade Otton,TE,2026,1.0
Chip Buckley,Chop Robinson,DL,2026,1.0
Eric Cookmeyer,Bryce Young,QB,2026,1.0
Eric Cookmeyer,Cam Newton,QB,2026,6.0
Eric Cookmeyer,Gus Edwards,RB,2026,3.0
Eric Cookmeyer,Emanuel Wilson,RB,2026,1.0
Eric Cookmeyer,D.J. Giddens,RB,2026,1.0
Eric Cookmeyer,Cooper Kupp,WR,2026,3.0
Eric Cookmeyer,Adonai Mitchell,WR,2026,1.0
Eric Cookmeyer,Daron Payne,DL,2026,1.0
Eric Cookmeyer,Quinyon Mitchell,DB,2026,1.0
Gordon Peterson,Darren Waller,TE,2026,12.0
Gordon Peterson,Robert Quinn,DL,2026,1.0
Gordon Peterson,L'Jarius Sneed,DB,2026,1.0
Gordon Peterson,San Francisco 49ers,D/ST,2026,1.0
JP Hummer,Deshaun Watson,QB,2026,1.0
JP Hummer,Zack Moss,RB,2026,3.0
JP Hummer,Devin Singletary,RB,2026,2.0
JP Hummer,Najee Harris,RB,2026,1.0
JP Hummer,D'Andre Swift,RB,2026,9.0
JP Hummer,J.K. Dobbins,RB,2026,5.0
JP Hummer,Diontae Johnson,WR,2026,4.0
JP Hummer,Curtis Samuel,WR,2026,1.0
JP Hummer,Jerry Jeudy,WR,2026,15.0
JP Hummer,Josh Palmer,WR,2026,1.0
James Vecchio,Antonio Gibson,RB,2026,3.0
James Vecchio,JuJu Smith-Schuster,WR,2026,1.0
James Vecchio,JuJu Smith-Schuster (x2),WR,2026,2.0
James Vecchio,Nick Bosa,DL,2026,9.0
