site_id,site_name,weight
fantasypros,FantasyPros,0.1305
numberfire,NumberFire,0.12
fantasysharks,FantasySharks,0.1176
espn,ESPN,0.1155
fftoday,FFToday,0.112
cbs,CBS,0.1103
nfl,NFL,0.1097
rtsports,RTSports,0.0997
walterfootball,WalterFootball,0.0846
