"Player","Year","Tot Routes","Target%","Rec Rate","Catch%","Drop%"
"Josh Downs","2023","240","25.0%","18.8%","75.0%","1.7%"
"Dontayvion Wicks","2023","175","23.4%","14.9%","63.4%","4.9%"
"Nico Collins","2023","242","30.6%","22.7%","74.3%","4.1%"
"Jahan Dotson","2023","293","15.7%","9.6%","60.9%","8.7%"
"Jameson Williams","2023","191","14.7%","10.5%","71.4%","0.0%"
"George Pickens","2023","239","25.1%","14.6%","58.3%","1.7%"
"Chris Olave","2023","269","29.0%","18.6%","64.1%","3.8%"
"Garrett Wilson","2023","312","27.2%","14.4%","52.9%","7.1%"
"Christian Watson","2023","231","21.2%","11.3%","53.1%","2.0%"
"Ja'Marr Chase","2023","312","26.0%","18.9%","72.8%","3.7%"
"Amon-Ra St. Brown","2023","246","32.1%","21.5%","67.1%","3.8%"
"DeVonta Smith","2023","263","24.3%","16.7%","68.8%","4.7%"
"Rashee Rice","2023","214","27.1%","20.1%","74.1%","8.6%"
"Jaylen Waddle","2023","226","29.2%","19.5%","66.7%","6.1%"
"Michael Wilson","2023","259","17.0%","11.2%","65.9%","0.0%"
"Demario Douglas","2023","229","24.9%","15.7%","63.2%","1.8%"
"Rashid Shaheed","2023","233","18.9%","12.4%","65.9%","4.5%"
"Brandon Aiyuk","2023","239","23.4%","18.0%","76.8%","1.8%"
"Cooper Kupp","2023","273","24.9%","16.1%","64.7%","4.4%"
"A.J. Brown","2023","280","32.1%","18.6%","57.8%","4.4%"
"CeeDee Lamb","2023","297","32.7%","24.9%","76.3%","4.1%"
"Justin Jefferson","2023","330","28.2%","19.7%","69.9%","2.2%"
"Davante Adams","2023","270","34.8%","20.0%","57.4%","8.5%"
"Tyreek Hill","2023","239","39.7%","25.9%","65.3%","7.4%"
"Rashod Bateman","2023","174","17.2%","9.8%","56.7%","6.7%"
"Isaiah Hodgins*","2022","210","20.5%","16.2%","79.1%","0.0%"
"Jakobi Meyers","2022","246","25.2%","17.5%","69.4%","3.2%"
"Mike Evans","2022","350","24.9%","12.9%","51.7%","5.7%"
"JuJu Smith-Schuster","2022","226","21.7%","18.1%","83.7%","0.0%"
"D.J. Chark","2022","247","16.6%","10.1%","61.0%","9.8%"
"DeAndre Hopkins","2022","305","29.5%","21.0%","71.1%","4.4%"
"Michael Thomas*","2022","103","22.3%","15.5%","69.6%","4.3%"
"Allen Lazard","2022","217","24.0%","13.4%","55.8%","5.8%"
"Parris Campbell","2022","264","20.1%","12.5%","62.3%","7.5%"
"Chris Olave","2022","269","27.9%","16.7%","60.0%","2.7%"
"D.J. Moore","2022","234","27.4%","14.1%","51.6%","0.0%"
"Garrett Wilson","2022","292","31.5%","18.8%","59.8%","4.3%"
"Elijah Moore","2022","316","16.5%","9.2%","55.8%","0.0%"
"Brandin Cooks","2022","256","20.7%","14.1%","67.9%","3.8%"
"Christian Watson","2022","173","24.9%","16.8%","67.4%","11.6%"
"George Pickens","2022","272","16.9%","11.4%","67.4%","4.3%"
"Drake London","2022","208","29.3%","19.7%","67.2%","3.3%"
"Treylon Burks","2022","179","25.1%","14.5%","57.8%","6.7%"
"Jahan Dotson","2022","274","18.2%","10.2%","56.0%","10.0%"
"Alec Pierce","2022","212","22.6%","14.2%","62.5%","10.4%"
"Skyy Moore","2022","130","27.7%","15.4%","55.6%","2.8%"
"Wan'Dale Robinson*","2022","135","25.2%","17.8%","70.6%","5.9%"
"Romeo Doubs","2022","194","23.2%","12.9%","55.6%","15.6%"
"Brandon Aiyuk","2022","219","25.1%","16.4%","65.5%","7.3%"
"Ja'Marr Chase","2022","318","27.7%","17.6%","63.6%","5.7%"
"Michael Pittman","2022","314","25.5%","17.5%","68.8%","2.5%"
"Amon-Ra St. Brown","2022","264","34.1%","26.5%","77.8%","4.4%"
"Jerry Jeudy","2022","280","22.9%","16.4%","71.9%","6.3%"
"Jaylen Waddle","2022","264","25.4%","15.2%","59.7%","7.5%"
"DeVonta Smith","2022","275","24.4%","17.1%","70.1%","3.0%"
"Justin Jefferson","2022","332","28.6%","18.4%","64.2%","2.1%"
"CeeDee Lamb","2022","268","29.9%","23.5%","78.8%","3.8%"
"Tee Higgins","2022","322","21.7%","13.7%","62.9%","5.7%"
"Kadarius Toney","2022","76","35.5%","26.3%","74.1%","3.7%"
"Nico Collins","2022","227","23.8%","13.2%","55.6%","1.9%"
"Gabe Davis","2022","287","20.6%","10.5%","50.8%","5.1%"
"Deebo Samuel","2022","228","28.9%","18.0%","62.1%","7.6%"
"Stefon Diggs","2022","284","29.6%","19.4%","65.5%","1.2%"
"Diontae Johnson","2022","281","25.6%","17.8%","69.4%","5.6%"
"DK Metcalf","2022","265","29.8%","17.7%","59.5%","10.1%"
"Terry McLaurin","2022","273","23.4%","14.7%","62.5%","3.1%"
"A.J. Brown","2022","241","30.3%","17.8%","58.9%","8.2%"
"Davante Adams","2022","283","35.3%","18.4%","52.0%","5.0%"
"Keenan Allen","2022","299","28.8%","20.1%","69.8%","1.2%"
"Amari Cooper","2022","216","28.2%","18.1%","63.9%","8.2%"
"Tyler Lockett","2022","276","24.6%","17.4%","70.6%","2.9%"
"Cooper Kupp","2022","290","33.1%","24.8%","75.0%","2.1%"
"Tyreek Hill","2022","252","37.3%","27.4%","73.4%","3.2%"
"Marquise Brown","2022","308","22.7%","14.9%","65.7%","2.9%"
"Christian Kirk","2022","263","22.8%","19.0%","83.3%","8.3%"
"Mike Williams","2022","311","20.6%","13.2%","64.1%","1.6%"
"Chris Godwin","2022","368","24.7%","16.6%","67.0%","3.3%"
"Davante Adams","2021","255","35.7%","23.9%","67.0%","2.2%"
"Odell Beckham","2021","249","24.1%","14.1%","58.3%","5.0%"
"Allen Robinson","2021","220","23.6%","13.6%","57.7%","3.8%"
"Amari Cooper","2021","289","22.8%","14.9%","65.2%","6.1%"
"D.J. Chark*","2021","103","24.3%","6.8%","28.0%","4.0%"
"JuJu Smith-Schuster*","2021","137","20.4%","10.9%","53.6%","3.6%"
"Russell Gage","2021","234","29.1%","21.4%","73.5%","4.4%"
"Jarvis Landry","2021","237","27.4%","16.5%","60.0%","1.5%"
"Christian Kirk","2021","269","19.7%","15.2%","77.4%","0.0%"
"Marquez Valdes-Scantling","2021","217","23.0%","10.6%","46.0%","0.0%"
"Ja'Marr Chase","2021","281","28.5%","17.1%","60.0%","8.8%"
"Jaylen Waddle","2021","270","30.7%","22.6%","73.5%","0.0%"
"Amon-Ra St. Brown","2021","221","31.2%","24.4%","78.3%","2.9%"
"DeVonta Smith","2021","216","25.9%","15.3%","58.9%","5.4%"
"Elijah Moore","2021","241","27.0%","15.4%","56.9%","4.6%"
"Rashod Bateman","2021","285","18.9%","12.6%","66.7%","1.9%"
"Joshua Palmer","2021","196","18.9%","11.7%","62.2%","5.4%"
"Nico Collins","2021","223","20.6%","12.1%","58.7%","2.2%"
"Kadarius Toney","2021","183","30.1%","20.2%","67.3%","5.5%"
"Rondale Moore","2021","154","27.9%","22.7%","81.4%","4.7%"
"Terrace Marshall","2021","214","11.2%","7.0%","62.5%","4.2%"
"A.J. Brown","2021","230","30.9%","21.3%","69.0%","2.8%"
"Hunter Renfrow","2021","249","26.5%","22.1%","83.3%","1.5%"
"Darnell Mooney","2021","278","26.3%","12.9%","49.3%","4.1%"
"Michael Pittman","2021","273","25.6%","17.6%","68.6%","5.7%"
"Gabriel Davis","2021","235","23.0%","14.0%","61.1%","5.6%"
"Jerry Jeudy","2021","212","24.1%","16.0%","66.7%","9.8%"
"Marquise Brown","2021","310","27.1%","17.4%","64.3%","3.6%"
"CeeDee Lamb","2021","287","20.6%","13.6%","66.1%","5.1%"
"Deebo Samuel","2021","234","30.3%","20.5%","67.6%","8.5%"
"Justin Jefferson","2021","253","27.7%","19.0%","68.6%","10.0%"
"Tee Higgins","2021","290","23.1%","15.9%","68.7%","7.5%"
"Terry McLaurin","2021","299","25.4%","14.0%","55.3%","6.6%"
"DK Metcalf","2021","224","24.6%","12.9%","52.7%","5.5%"
"Brandon Aiyuk","2021","224","21.0%","13.8%","66.0%","4.3%"
"Diontae Johnson","2021","284","30.6%","20.4%","66.7%","3.4%"
