"Player","Year","Tot Routes","Target%","Rec Rate","Catch%","Drop%"
"JuJu Smith-Schuster","2017","234","21.8%","17.5%","80.4%","3.9%"
"Julio Jones","2017","222","36.5%","23.0%","63.0%","8.6%"
"Keelan Cole","2017","257","22.2%","12.8%","57.9%","5.3%"
"Keenan Allen","2017","262","34.7%","22.9%","65.9%","4.4%"
"Kelvin Benjamin","2017","232","22.0%","13.8%","62.7%","7.8%"
"Kenny Golladay","2017","250","17.6%","9.2%","52.3%","4.5%"
"Kenny Stills","2017","288","20.5%","11.1%","54.2%","3.4%"
"Larry Fitzgerald","2017","330","25.5%","19.1%","75.0%","3.6%"
"Marqise Lee","2017","268","24.3%","13.4%","55.4%","10.8%"
"Marquise Goodwin","2017","288","27.1%","12.2%","44.9%","6.4%"
"Marvin Jones","2017","291","22.0%","11.0%","50.0%","4.7%"
"Michael Crabtree","2017","225","32.9%","18.2%","55.4%","5.4%"
"Michael Thomas","2017","234","33.8%","24.4%","72.2%","1.3%"
"Mike Evans","2017","276","25.4%","12.3%","48.6%","2.9%"
"Nelson Agholor","2017","256","25.0%","16.4%","65.6%","7.8%"
"Paul Richardson","2017","274","16.4%","9.1%","55.6%","13.3%"
"Pierre Garcon","2017","271","26.2%","16.2%","62.0%","2.8%"
"Randall Cobb","2017","229","24.9%","16.2%","64.9%","1.8%"
"Rishard Matthews","2017","241","24.5%","15.4%","62.7%","5.1%"
"Robby Anderson","2017","271","26.2%","14.8%","56.3%","5.6%"
"Robert Woods","2017","246","23.6%","14.6%","62.1%","1.7%"
"Sammy Watkins","2017","258","19.0%","8.9%","46.9%","4.1%"
"Stefon Diggs","2017","229","26.2%","18.3%","70.0%","5.0%"
"Sterling Shepard","2017","343","21.0%","14.9%","70.8%","8.3%"
"T.Y. Hilton","2017","282","23.4%","13.1%","56.1%","6.1%"
"Tyler Lockett","2017","273","17.9%","12.1%","67.3%","0.0%"
"Tyreek Hill","2017","247","23.9%","16.6%","69.5%","3.4%"
"Will Fuller","2017","285","17.9%","8.4%","47.1%","5.9%"
"A.J. Green","2016","236","29.7%","19.5%","65.7%","1.4%"
"Adam Thielen","2016","292","20.2%","13.4%","66.1%","1.7%"
"Allen Robinson","2016","329","24.6%","12.2%","49.4%","9.9%"
"Alshon Jeffery","2016","268","26.5%","12.3%","46.5%","2.8%"
"Amari Cooper","2016","307","27.0%","16.3%","60.2%","1.2%"
"Antonio Brown","2016","308","35.4%","22.8%","68.5%","3.0%"
"Brandin Cooks","2016","289","18.7%","12.1%","64.8%","1.9%"
"Brandon Marshall","2016","282","28.7%","12.8%","44.4%","6.2%"
"Cameron Meredith","2016","290","26.6%","17.2%","64.9%","3.9%"
"Chris Conley","2016","279","15.8%","8.2%","52.3%","6.8%"
"Corey Coleman","2016","281","21.7%","8.9%","41.0%","4.9%"
"Davante Adams","2016","303","24.8%","13.5%","54.7%","1.3%"
"DeAndre Hopkins","2016","308","27.9%","13.3%","47.7%","4.7%"
"Demaryius Thomas","2016","250","35.2%","22.4%","63.6%","6.8%"
"DeSean Jackson","2016","237","21.1%","13.1%","62.0%","2.0%"
"DeVante Parker","2016","223","26.0%","17.0%","65.5%","0.0%"
"Dez Bryant","2016","252","28.6%","15.5%","54.2%","4.2%"
"Donte Moncrief","2016","282","19.1%","10.3%","53.7%","11.1%"
"Doug Baldwin","2016","234","21.8%","16.2%","74.5%","3.9%"
"Emmanuel Sanders","2016","302","30.1%","17.5%","58.2%","3.3%"
"Golden Tate","2016","286","21.7%","15.0%","69.4%","3.2%"
"Jamison Crowder","2016","271","21.4%","14.4%","67.2%","5.2%"
"Jarvis Landry","2016","252","29.0%","20.2%","69.9%","4.1%"
"Jeremy Maclin","2016","275","22.9%","12.7%","55.6%","3.2%"
"John Brown","2016","251","23.5%","12.7%","54.2%","1.7%"
"Jordan Matthews","2016","308","26.3%","15.9%","60.5%","6.2%"
"Jordy Nelson","2016","315","26.3%","16.5%","62.7%","6.0%"
"Julian Edelman","2016","272","29.0%","18.4%","63.3%","2.5%"
"Julio Jones","2016","249","32.5%","19.3%","59.3%","6.2%"
"Kelvin Benjamin","2016","256","23.4%","12.9%","55.0%","3.3%"
"Kenny Britt","2016","245","26.5%","16.7%","63.1%","1.5%"
"Larry Fitzgerald","2016","320","26.6%","17.2%","64.7%","2.4%"
"Michael Crabtree","2016","229","21.8%","14.8%","68.0%","4.0%"
"Michael Thomas","2016","274","25.2%","19.7%","78.3%","2.9%"
"Mike Evans","2016","289","32.5%","18.0%","55.3%","3.2%"
"Mike Wallace","2016","238","23.9%","13.0%","54.4%","5.3%"
"Odell Beckham","2016","298","29.9%","16.4%","55.1%","4.5%"
"Pierre Garcon","2016","246","23.2%","14.6%","63.2%","3.5%"
"Quincy Enunwa","2016","243","21.0%","10.7%","51.0%","11.8%"
"Randall Cobb","2016","297","21.9%","14.8%","67.7%","1.5%"
"Rishard Matthews","2016","226","29.7%","17.7%","59.7%","4.5%"
"Stefon Diggs","2016","272","27.2%","20.6%","75.7%","2.7%"
"Sterling Shepard","2016","325","16.9%","10.2%","60.0%","5.5%"
"T.Y. Hilton","2016","335","27.2%","14.6%","53.8%","5.5%"
"Terrelle Pryor","2016","278","27.3%","14.4%","52.6%","5.3%"
"Tyreek Hill","2016","180","31.7%","23.9%","75.4%","3.5%"
"Tyrell Williams","2016","311","23.8%","13.5%","56.8%","8.1%"
"Willie Snead","2016","235","22.6%","16.6%","73.6%","7.5%"
"Tyler Lockett","2016","250","20.0%","11.2%","56.0%","6.0%"
"A.J. Green","2015","236","29.7%","19.5%","65.7%","1.4%"
"Albert Wilson","2015","199","17.6%","9.0%","51.4%","5.7%"
"Allen Robinson","2015","278","24.8%","13.3%","53.6%","4.3%"
"Amari Cooper","2015","258","26.0%","13.2%","50.7%","14.9%"
"Anquan Boldin","2015","247","23.1%","13.4%","57.9%","3.5%"
"Brandin Cooks","2015","304","22.0%","13.8%","62.7%","6.0%"
"Bruce Ellington","2015","77","16.9%","11.7%","69.2%","7.7%"
"Calvin Johnson","2015","269","25.7%","16.0%","62.3%","1.4%"
"DeSean Jackson","2015","237","21.1%","13.1%","62.0%","2.0%"
"DeVante Parker","2015","262","17.6%","8.8%","50.0%","8.7%"
"Devin Funchess","2015","154","28.6%","15.6%","54.5%","4.5%"
"Donte Moncrief","2015","252","21.0%","11.1%","52.8%","3.8%"
"Dorial Green-Beckham","2015","258","19.0%","10.1%","53.1%","8.2%"
"Doug Baldwin","2015","234","21.8%","16.2%","74.5%","3.9%"
"Eric Decker","2015","268","27.2%","16.8%","61.6%","2.7%"
"Golden Tate","2015","286","21.7%","15.0%","69.4%","3.2%"
"Jamison Crowder","2015","240","18.3%","12.9%","70.5%","4.5%"
"John Brown","2015","285","21.4%","12.6%","59.0%","6.6%"
"Kamar Aiken","2015","275","20.4%","12.0%","58.9%","1.8%"
"Keenan Allen","2015","298","31.2%","23.2%","74.2%","5.4%"
"Martavis Bryant","2015","285","26.2%","14.7%","56.0%","8.0%"
"Marvin Jones","2015","211","25.1%","15.6%","62.3%","3.8%"
"Mike Evans","2015","280","33.6%","16.4%","48.9%","13.8%"
"Nelson Agholor","2015","256","11.7%","5.5%","46.7%","13.3%"
"Sammy Watkins","2015","238","29.4%","17.2%","58.6%","5.7%"
"Stefon Diggs","2015","237","24.5%","15.2%","62.1%","3.4%"
"Torrey Smith","2015","216","15.3%","8.3%","54.5%","6.1%"
"Travis Benjamin","2015","257","21.8%","12.8%","58.9%","1.8%"
"Tyler Lockett","2015","205","18.0%","13.7%","75.7%","2.7%"
"Willie Snead","2015","262","22.1%","14.1%","63.8%","3.4%"
"Allen Robinson","2014","233","25.8%","15.0%","58.3%","3.3%"
"Andre Johnson","2014","278","30.9%","16.9%","54.7%","4.7%"
"Antonio Brown","2014","308","31.8%","20.5%","63.3%","6.1%"
"Brandin Cooks","2014","260","20.4%","15.0%","73.6%","1.9%"
"Charles Johnson","2014","223","22.4%","12.1%","54.0%","4.0%"
"Davante Adams","2014","279","17.6%","10.0%","57.1%","6.1%"
"Demaryius Thomas","2014","250","35.2%","22.4%","63.6%","6.8%"
"Dez Bryant","2014","252","28.6%","15.5%","54.2%","4.2%"
"Donte Moncrief","2014","160","25.0%","15.0%","60.0%","5.0%"
"Dwayne Bowe","2014","223","22.4%","15.2%","68.0%","6.0%"
"Jarvis Landry","2014","223","28.3%","20.6%","73.0%","3.2%"
"John Brown","2014","222","28.4%","12.2%","42.9%","4.8%"
"Jordan Matthews","2014","218","25.2%","16.5%","65.5%","7.3%"
"Justin Hunter","2014","255","16.1%","6.7%","41.5%","9.8%"
"Kelvin Benjamin","2014","260","29.2%","13.1%","44.7%","10.5%"
"Kenny Stills","2014","234","20.1%","14.1%","70.2%","4.3%"
"Marqise Lee","2014","267","21.3%","11.2%","52.6%","12.3%"
"Martavis Bryant","2014","152","28.9%","15.1%","52.3%","11.4%"
"Michael Crabtree","2014","229","21.8%","14.8%","68.0%","4.0%"
"Mike Evans","2014","289","27.3%","14.2%","51.9%","2.5%"
"Mike Wallace","2014","238","23.9%","13.0%","54.4%","5.3%"
"Odell Beckham","2014","297","32.7%","20.5%","62.9%","2.1%"
"Paul Richardson","2014","177","20.3%","13.0%","63.9%","2.8%"
"Percy Harvin","2014","199","25.6%","18.1%","70.6%","5.9%"
"Randall Cobb","2014","245","26.1%","19.6%","75.0%","4.7%"
"Sammy Watkins","2014","297","24.2%","12.8%","52.8%","1.4%"
"Stevie Johnson","2014","170","23.5%","15.9%","67.5%","5.0%"
