"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Jauan Jennings","2024","252","0.0","13.1","9.9","15.9","8.3","8.3","6.0","16.3","9.1","8.3","4.8"
"Jerry Jeudy","2024","335","1.8","18.5","16.1","21.5","8.4","9.6","4.2","11.3","1.5","6.9","0.3"
"Courtland Sutton","2024","238","0.4","12.2","15.1","27.7","4.6","19.7","8.4","7.1","0.8","0.8","2.9"
"Jaylen Waddle","2024","228","3.5","23.2","7.9","21.1","11.8","11.8","3.1","11.0","0.4","5.3","0.9"
"DeVonta Smith","2024","245","3.7","17.6","20.0","11.8","11.4","10.6","3.7","11.8","1.2","4.1","4.1"
"Amon-Ra St. Brown","2024","272","2.9","23.9","9.6","23.5","6.6","10.7","2.6","6.6","2.9","6.6","4.0"
"A.J. Brown","2024","210","1.0","22.4","13.8","12.9","2.9","17.1","4.8","11.9","2.4","2.9","8.1"
"Josh Palmer","2024","241","0.0","15.4","10.0","19.1","13.3","16.6","4.1","9.1","6.6","2.5","3.3"
"Mike Evans","2024","233","0.4","21.5","13.7","14.2","5.6","12.4","7.7","15.9","1.7","2.6","4.3"
"Justin Jefferson","2024","277","4.7","10.8","8.3","27.1","7.9","9.4","7.6","11.9","4.0","4.3","4.0"
"CeeDee Lamb","2024","256","8.2","19.9","13.3","10.2","10.2","11.3","6.6","7.4","3.5","5.5","3.9"
"Ja'Marr Chase","2024","349","4.9","21.5","13.2","16.6","4.0","14.3","2.9","13.2","1.4","4.6","3.4"
"Rashod Bateman","2024","180","0.6","17.2","18.3","24.4","10.0","6.7","3.3","10.6","2.2","1.1","5.6"
"Tee Higgins","2023","280","0.0","21.1","14.6","18.6","4.3","20.4","5.4","10.4","1.4","2.9","1.1"
"Mike Evans","2023","254","1.2","18.5","8.7","10.6","8.3","16.5","8.7","15.0","1.2","7.1","4.3"
"Calvin Ridley","2023","286","2.8","9.8","18.9","12.9","6.3","18.9","5.2","9.1","10.8","3.1","2.1"
"Marquise Brown","2023","290","2.1","23.8","17.2","13.4","9.3","19.7","5.2","6.2","0.7","0.3","2.1"
"Michael Pittman","2023","290","3.4","28.6","20.0","12.8","6.2","7.6","4.5","5.5","2.1","5.9","3.4"
"Gabe Davis","2023","267","0.4","17.2","21.7","12.7","7.5","18.7","7.9","5.6","0.7","1.9","5.6"
"Jerry Jeudy","2023","233","6.9","19.3","12.0","9.4","10.7","10.3","8.2","10.3","0.0","8.2","4.7"
"Keenan Allen","2023","311","3.5","20.3","13.5","14.8","6.1","10.6","5.1","11.6","1.6","9.3","3.5"
"Drake London","2023","252","1.2","20.6","23.0","11.5","7.5","9.9","7.5","9.9","1.2","3.6","4.0"
"Curtis Samuel","2023","259","5.4","22.4","18.5","8.9","10.4","7.7","5.8","8.5","2.7","6.6","3.1"
"Diontae Johnson","2023","246","2.8","15.0","21.1","8.5","8.1","15.4","2.4","14.6","3.3","4.9","3.7"
"Stefon Diggs","2023","233","4.7","26.6","16.7","8.2","8.2","11.6","3.0","8.6","1.3","6.9","4.3"
"Jaxon Smith-Njigba","2023","226","8.4","19.9","8.0","11.5","9.3","8.0","6.6","10.2","3.5","12.4","2.2"
"Zay Flowers","2023","286","9.4","12.6","16.4","13.3","8.4","10.8","5.6","7.0","3.8","6.3","6.3"
"Puka Nacua","2023","287","4.2","23.0","15.7","21.3","5.2","4.5","5.6","9.1","2.4","4.2","4.9"
"Jayden Reed","2023","185","8.1","22.7","7.6","9.7","16.2","4.3","5.9","9.7","1.6","8.6","5.4"
"Jordan Addison","2023","284","2.5","14.1","4.2","19.4","10.9","14.4","3.2","13.4","7.7","6.0","4.2"
"Tank Dell","2023","266","6.8","14.3","8.6","12.0","15.4","11.3","6.0","13.5","3.8","4.1","4.1"
"Quentin Johnston","2023","256","1.6","18.8","10.9","9.8","5.5","27.0","8.6","7.0","5.5","1.6","3.9"
"Josh Downs","2023","240","6.3","19.2","16.3","8.3","12.1","5.4","5.4","6.3","4.6","10.4","5.8"
"Dontayvion Wicks","2023","175","2.3","16.6","13.7","19.4","8.6","9.7","6.9","11.4","1.1","7.4","2.9"
"Nico Collins","2023","242","3.7","21.1","12.0","19.8","10.3","7.9","4.1","12.0","3.3","2.9","2.9"
"Jahan Dotson","2023","293","2.0","17.7","14.3","15.4","11.9","10.9","5.5","9.2","4.4","5.1","3.4"
"Jameson Williams","2023","191","2.1","9.4","12.0","14.1","18.3","16.2","11.0","9.4","2.6","3.7","1.0"
"George Pickens","2023","239","1.3","20.9","13.4","10.9","8.8","23.0","10.0","7.1","1.7","2.1","0.8"
"Chris Olave","2023","269","3.7","13.4","19.0","10.8","8.2","13.8","4.8","10.4","3.3","8.2","4.5"
"Garrett Wilson","2023","312","2.9","22.4","13.5","7.4","7.1","18.6","8.0","10.3","2.6","5.1","2.2"
"Christian Watson","2023","231","0.4","19.9","13.9","11.7","11.3","16.9","6.9","6.9","0.9","8.2","3.0"
"Ja'Marr Chase","2023","312","8.0","23.1","10.6","11.2","5.4","17.6","2.2","11.2","2.2","6.1","2.2"
"Amon-Ra St. Brown","2023","246","5.3","25.6","11.0","9.3","6.5","9.3","5.3","10.6","1.2","9.3","6.5"
"DeVonta Smith","2023","263","4.9","15.2","22.4","14.8","8.4","14.4","3.4","7.2","3.4","3.0","2.7"
"Rashee Rice","2023","214","6.1","38.3","10.3","14.0","5.6","5.1","3.3","2.8","1.9","6.5","6.1"
"Jaylen Waddle","2023","226","5.8","25.7","4.9","16.8","11.9","11.5","5.8","6.6","1.8","6.6","2.7"
"Michael Wilson","2023","259","0.4","26.3","8.1","16.2","6.2","13.9","5.4","10.8","2.7","6.2","3.9"
"Demario Douglas","2023","229","10.9","27.9","10.5","8.7","8.7","7.0","3.9","5.2","1.3","9.6","6.1"
"Rashid Shaheed","2023","233","5.2","14.6","10.7","10.3","15.0","20.2","3.4","6.9","3.9","6.9","3.0"
"Brandon Aiyuk","2023","239","1.7","23.8","4.2","19.7","7.5","14.6","5.4","10.0","5.0","2.9","5.0"
"Cooper Kupp","2023","273","3.7","22.7","9.5","14.3","7.0","4.8","6.2","11.0","1.5","15.8","3.7"
