"Player","Year","Man Att","SR v Man","Zone Att","SR v Zone","Dbl Att","SR v Dlbl","Press Att","SR v Press","Routes","Press%","Man%","Zone%","Double%"
"Courtland Sutton","2024","125","71.2%","113","70.8%","12","50.0%","90","68.9%","238","37.8%","52.5%","47.5%","5.0%"
"Dez Bryant","2016","140","71.1%","90","77.4%","35","57.1%","100","78.0%","230","43.5%","60.9%","39.1%","15.2%"
"Brandon Aiyuk","2021","93","71.0%","131","80.2%","10","50.0%","50","76.0%","224","22.3%","41.5%","58.5%","4.5%"
"Nico Collins","2022","107","71.0%","120","75.8%","7","28.6%","55","74.5%","227","24.2%","47.1%","52.9%","3.1%"
"Amari Cooper","2022","100","71.0%","116","78.4%","21","57.1%","42","71.4%","216","19.4%","46.3%","53.7%","9.7%"
"Jaylen Waddle","2024","93","71.0%","135","79.3%","2","50.0%","55","74.5%","228","24.1%","40.8%","59.2%","0.9%"
"Donte Moncrief","2016","199","70.9%","85","83.5%","10","50.0%","76","76.3%","284","26.8%","70.1%","29.9%","3.5%"
"Randall Cobb","2017","141","70.9%","88","81.8%","0","n/a","52","65.4%","229","22.7%","61.6%","38.4%","0.0%"
"Jordan Addison","2024","103","70.9%","185","77.8%","2","50.0%","47","66.0%","288","16.3%","35.8%","64.2%","0.7%"
"Dontayvion Wicks","2024","55","70.9%","106","78.3%","2","100.0%","25","68.0%","161","15.5%","34.2%","65.8%","1.2%"
"Jerry Jeudy","2024","158","70.9%","177","73.4%","7","14.3%","56","64.3%","335","16.7%","47.2%","52.8%","2.1%"
"Amari Cooper","2015","167","70.7%","92","73.9%","18","38.9%","96","68.8%","259","37.1%","64.5%","35.5%","6.9%"
"Jerry Jeudy","2023","75","70.7%","158","70.3%","5","0.0%","10","70.0%","233","4.3%","32.2%","67.8%","2.1%"
"Bruce Ellington","2015","34","70.6%","43","81.4%","0","n/a","14","71.3%","77","18.2%","44.2%","55.8%","0.0%"
"Sammy Watkins","2015","160","70.6%","78","73.1%","11","63.6%","103","75.7%","238","43.3%","67.2%","32.8%","4.6%"
"Jakobi Meyers","2022","85","70.6%","161","80.1%","9","33.3%","29","72.4%","246","11.8%","34.6%","65.4%","3.7%"
"Jerry Jeudy","2022","109","70.6%","171","68.4%","10","60.0%","40","67.5%","280","14.3%","38.9%","61.1%","3.6%"
"Cooper Kupp","2022","109","70.6%","181","87.3%","37","56.8%","33","69.7%","290","11.4%","37.6%","62.4%","12.8%"
"Jahan Dotson","2023","143","70.6%","150","79.3%","5","60.0%","36","72.2%","293","12.3%","48.8%","51.2%","1.7%"
"D.J. Moore","2021","122","70.5%","156","76.9%","18","61.1%","80","67.5%","278","28.8%","43.9%","56.1%","6.5%"
"Amon-Ra St. Brown","2022","105","70.5%","159","81.8%","19","57.9%","16","68.8%","264","6.1%","39.8%","60.2%","7.2%"
"Jalen Coker","2024","112","70.5%","134","78.4%","4","25.0%","27","70.4%","246","11.0%","45.5%","54.5%","1.6%"
"Michael Wilson","2023","115","70.4%","144","73.6%","3","66.7%","48","70.8%","259","18.5%","44.4%","55.6%","1.2%"
"Mike Evans","2016","185","70.3%","107","86.9%","44","68.2%","75","70.7%","292","25.7%","63.4%","36.6%","15.1%"
"Adam Thielen","2019","111","70.3%","105","80.0%","7","71.4%","54","68.5%","216","25.0%","51.4%","48.6%","3.2%"
"Mike Evans","2019","192","70.3%","99","74.7%","30","73.3%","109","72.5%","291","37.5%","66.0%","34.0%","10.3%"
"Dante Pettis","2018","161","70.2%","88","78.4%","6","83.3%","87","69.0%","249","34.9%","64.7%","35.3%","2.4%"
"Rashard Higgins","2020","104","70.2%","109","79.8%","5","20.0%","78","74.4%","213","36.6%","48.8%","51.2%","2.3%"
"DeAndre Hopkins","2021","121","70.2%","139","79.1%","28","57.1%","51","72.5%","260","19.6%","46.5%","53.5%","10.8%"
"Brandin Cooks","2021","84","70.2%","157","75.2%","17","52.9%","40","70.0%","241","16.6%","34.9%","65.1%","7.1%"
"Cedric Tillman","2024","114","70.2%","124","76.6%","7","57.1%","56","66.1%","238","23.5%","47.9%","52.1%","2.9%"
"Pierre Garcon","2017","174","70.1%","97","79.4%","5","60.0%","99","63.6%","271","36.5%","64.2%","35.8%","1.8%"
"Jaylen Waddle","2021","107","70.1%","163","77.9%","7","42.9%","35","65.7%","270","13.0%","39.6%","60.4%","2.6%"
"Michael Crabtree","2014","140","70.0%","89","78.7%","6","66.7%","62","74.2%","229","27.1%","61.1%","38.9%","2.6%"
"Josh Gordon*","2017","120","70.0%","46","87.0%","4","75.0%","56","73.2%","166","33.7%","72.3%","27.7%","2.4%"
"Robert Woods","2018","130","70.0%","116","83.6%","12","33.3%","61","62.3%","246","24.8%","52.8%","47.2%","4.9%"
"Andre Johnson","2014","163","69.9%","111","71.2%","19","68.4%","70","71.4%","274","25.5%","59.5%","40.5%","6.9%"
"Emmanuel Sanders","2017","186","69.9%","106","76.4%","7","28.6%","90","70.0%","292","30.8%","63.7%","36.3%","2.4%"
"Keelan Cole","2017","163","69.9%","94","77.7%","1","0.0%","64","70.3%","257","24.9%","63.4%","36.6%","0.4%"
"Jahan Dotson","2022","103","69.9%","171","80.1%","2","50.0%","38","78.9%","274","13.9%","37.6%","62.4%","0.7%"
"Martavis Bryant","2014","96","69.8%","56","69.6%","1","100.0%","34","70.6%","152","22.4%","63.2%","36.8%","0.7%"
"Darnell Mooney","2020","96","69.8%","170","74.7%","2","0.0%","32","53.1%","266","12.0%","36.1%","63.9%","0.8%"
"Cameron Meredith","2016","175","69.7%","114","84.2%","4","50.0%","73","68.5%","289","25.3%","60.6%","39.4%","1.4%"
"Tyler Lockett","2016","132","69.7%","124","80.6%","3","66.7%","45","71.1%","256","17.6%","51.6%","48.4%","1.2%"
"Albert Wilson","2018","66","69.7%","56","89.3%","0","n/a","34","64.7%","122","27.9%","54.1%","45.9%","0.0%"
"Julian Edelman","2018","119","69.7%","148","88.5%","7","28.6%","40","65.0%","267","15.0%","44.6%","55.4%","2.6%"
"Jaylen Waddle","2022","99","69.7%","165","81.8%","11","54.5%","47","70.2%","264","17.8%","37.5%","62.5%","4.2%"
"Ricky Pearsall","2024","122","69.7%","110","82.7%","4","25.0%","56","75.0%","232","24.1%","52.6%","47.4%","1.7%"
"John Brown","2016","148","69.6%","103","77.7%","3","66.7%","61","67.2%","251","24.3%","59.0%","41.0%","1.2%"
"Alec Pierce","2022","112","69.6%","100","71.0%","2","0.0%","58","72.4%","212","27.4%","52.8%","47.2%","0.9%"
"DeAndre Hopkins","2016","197","69.5%","116","74.1%","21","66.7%","121","74.6%","313","38.7%","62.9%","37.1%","6.7%"
"Christian Kirk","2018","128","69.5%","84","82.1%","1","100.0%","57","64.9%","212","26.9%","60.4%","39.6%","0.5%"
"Randall Cobb","2014","134","69.4%","108","84.3%","11","81.8%","47","74.7%","242","19.4%","55.4%","44.6%","4.5%"
"DeSean Jackson","2015","121","69.4%","115","78.3%","5","80.0%","35","68.6%","236","14.8%","51.3%","48.7%","2.1%"
"Amari Cooper","2016","186","69.4%","117","88.0%","19","63.2%","98","66.3%","303","32.3%","61.4%","38.6%","6.3%"
"Mike Williams","2019","157","69.4%","73","78.1%","4","50.0%","77","64.9%","230","33.5%","68.3%","31.7%","1.7%"
"Rashid Shaheed","2023","85","69.4%","148","76.4%","2","100.0%","43","74.4%","233","18.5%","36.5%","63.5%","0.9%"
"Doug Baldwin","2017","127","69.3%","158","82.3%","4","50.0%","46","76.1%","285","16.1%","44.6%","55.4%","1.4%"
"Mike Evans","2022","179","69.3%","171","72.5%","32","53.1%","84","75.0%","350","24.0%","51.1%","48.9%","9.1%"
"Michael Crabtree","2016","120","69.2%","109","81.2%","6","33.3%","62","75.2%","229","27.1%","52.4%","47.6%","2.6%"
"Davante Adams","2017","208","69.2%","77","81.8%","14","35.7%","109","67.9%","285","38.2%","73.0%","27.0%","4.9%"
"DeSean Jackson","2018","159","69.2%","101","76.2%","5","40.0%","58","62.1%","260","22.3%","61.2%","38.8%","1.9%"
"DK Metcalf","2024","117","69.2%","167","71.3%","15","53.3%","56","75.0%","284","19.7%","41.2%","58.8%","5.3%"
"Doug Baldwin","2015","110","69.1%","124","75.8%","6","33.3%","31","74.2%","234","13.2%","47.0%","53.0%","2.6%"
"Doug Baldwin","2016","110","69.1%","124","81.1%","6","33.3%","31","74.2%","234","13.2%","47.0%","53.0%","2.6%"
"DeAndre Hopkins","2017","246","69.1%","70","87.1%","51","64.7%","166","68.7%","316","52.5%","77.8%","22.2%","16.1%"
"Van Jefferson","2021","110","69.1%","173","74.6%","4","0.0%","47","66.0%","283","16.6%","38.9%","61.1%","1.4%"
"Demario Douglas","2023","94","69.1%","135","75.6%","3","33.3%","16","62.5%","229","7.0%","41.0%","59.0%","1.3%"
"DeSean Jackson","2016","125","69.0%","115","79.3%","5","80.0%","40","67.6%","240","16.7%","52.1%","47.9%","2.1%"
"D.J. Chark","2019","174","69.0%","143","79.0%","13","53.8%","83","68.7%","317","26.2%","54.9%","45.1%","4.1%"
"Kamar Aiken","2015","132","68.9%","146","76.7%","1","100.0%","66","68.2%","278","23.7%","47.5%","52.5%","0.4%"
"Mike Evans","2015","164","68.9%","116","72.4%","16","68.8%","86","69.8%","280","30.7%","58.6%","41.4%","5.7%"
"Adam Thielen","2017","157","68.8%","104","80.8%","10","50.0%","61","65.6%","261","23.4%","60.2%","39.8%","3.8%"
"Will Fuller","2020","173","68.8%","102","80.4%","18","50.0%","97","74.2%","275","35.3%","62.9%","37.1%","6.5%"
"Tee Higgins","2020","138","68.8%","145","77.9%","5","40.0%","56","71.4%","283","19.8%","48.8%","51.2%","1.8%"
"Willie Snead","2015","115","68.7%","146","78.1%","3","33.3%","54","74.1%","261","20.7%","44.1%","55.9%","1.1%"
"Tee Higgins","2023","115","68.7%","165","73.9%","9","66.7%","64","68.8%","280","22.9%","41.1%","58.9%","3.2%"
"George Pickens","2023","134","68.7%","105","73.3%","15","46.7%","69","73.9%","239","28.9%","56.1%","43.9%","6.3%"
"T.Y. Hilton","2016","203","68.5%","130","76.2%","16","62.5%","74","71.6%","333","22.2%","61.0%","39.0%","4.8%"
"Courtland Sutton","2019","181","68.5%","82","76.8%","33","63.6%","97","69.1%","263","36.9%","68.8%","31.2%","12.5%"
"Robert Woods","2019","130","68.5%","179","78.8%","7","57.1%","38","60.5%","309","12.3%","42.1%","57.9%","2.3%"
"Skyy Moore","2022","54","68.5%","76","78.9%","1","100.0%","26","73.1%","130","20.0%","41.5%","58.5%","0.8%"
"Larry Fitzgerald","2017","155","68.4%","175","81.1%","20","55.0%","60","61.7%","330","18.2%","47.0%","53.0%","6.1%"
"Nelson Agholor","2020","117","68.4%","107","72.9%","1","0.0%","76","72.4%","224","33.9%","52.2%","47.8%","0.4%"
"Jerry Jeudy","2021","79","68.4%","133","78.9%","7","57.1%","28","67.9%","212","13.2%","37.3%","62.7%","3.3%"
"Mike Evans","2017","202","68.3%","74","73.0%","24","54.2%","93","63.4%","276","33.7%","73.2%","26.8%","8.7%"
"Odell Beckham","2019","186","68.3%","93","73.1%","29","62.1%","89","64.0%","279","31.9%","66.7%","33.3%","10.4%"
"Kenny Stills","2018","195","68.2%","93","76.3%","2","0.0%","94","64.9%","288","32.6%","67.7%","32.3%","0.7%"
"Denzel Mims","2020","129","68.2%","101","73.3%","5","100.0%","102","68.6%","230","44.3%","56.1%","43.9%","2.2%"
"A.J. Green","2017","188","68.1%","61","78.7%","14","64.3%","132","62.9%","249","53.0%","75.5%","24.5%","5.6%"
"Jakobi Meyers","2021","119","68.1%","146","80.1%","4","25.0%","38","60.5%","265","14.3%","44.9%","55.1%","1.5%"
"Marquise Brown","2020","75","68.0%","136","80.9%","8","37.5%","39","59.0%","211","18.5%","35.5%","64.5%","3.8%"
"Nico Collins","2021","103","68.0%","120","73.3%","3","33.3%","57","71.9%","223","25.6%","46.2%","53.8%","1.3%"
"Sterling Shepard","2017","184","67.9%","159","81.1%","5","60.0%","76","67.1%","343","22.2%","53.6%","46.4%","1.5%"
"Paul Richardson","2014","87","67.8%","90","76.7%","2","0.0%","33","57.6%","177","18.6%","49.2%","50.8%","1.1%"
"Brandon Marshall","2016","198","67.7%","84","77.4%","32","62.5%","117","70.1%","282","41.5%","70.2%","29.8%","11.3%"
"Larry Fitzgerald","2016","155","67.7%","164","82.3%","17","52.9%","52","69.2%","319","16.3%","48.6%","51.4%","5.3%"
"Mike Williams","2020","161","67.7%","122","72.1%","13","23.1%","77","63.6%","283","27.2%","56.9%","43.1%","4.6%"
"Mecole Hardman","2020","68","67.6%","137","77.4%","1","0.0%","28","60.7%","205","13.7%","33.2%","66.8%","0.5%"
"Cooper Kupp","2021","74","67.6%","198","91.4%","26","76.9%","30","76.7%","272","11.0%","27.2%","72.8%","9.6%"
"Larry Fitzgerald","2018","126","67.5%","155","80.0%","14","64.3%","50","56.0%","281","17.8%","44.8%","55.2%","5.0%"
"Darnell Mooney","2021","80","67.5%","198","77.8%","6","33.3%","34","61.8%","278","12.2%","28.8%","71.2%","2.2%"
"Isaiah Hodgins*","2022","86","67.4%","124","74.2%","4","0.0%","18","77.8%","210","8.6%","41.0%","59.0%","1.9%"
"Alshon Jeffery","2018","205","67.3%","69","78.3%","12","33.3%","130","64.6%","274","47.4%","74.8%","25.2%","4.4%"
"Tyreek Hill","2024","104","67.3%","137","81.8%","18","66.7%","50","72.0%","241","20.7%","43.2%","56.8%","7.5%"
"Corey Davis","2017","180","67.2%","72","77.8%","16","56.3%","73","61.6%","252","29.0%","71.4%","28.6%","6.3%"
"Robert Woods","2020","119","67.2%","158","80.4%","10","50.0%","36","63.9%","277","13.0%","43.0%","57.0%","3.6%"
"Adonai Mitchell","2024","73","67.1%","73","72.6%","3","100.0%","39","76.9%","146","26.7%","50.0%","50.0%","2.1%"
"Martavis Bryant","2015","218","67.0%","72","86.1%","14","50.0%","102","67.6%","290","35.2%","75.2%","24.8%","4.8%"
"Marvin Jones","2020","112","67.0%","164","80.5%","4","25.0%","57","63.2%","276","20.7%","40.6%","59.4%","1.4%"
"Jauan Jennings","2024","109","67.0%","143","77.6%","7","57.1%","47","66.0%","252","18.7%","43.3%","56.7%","2.8%"
"Charles Johnson","2014","118","66.9%","106","70.8%","10","30.0%","41","71.0%","224","18.3%","52.7%","47.3%","4.5%"
"Allen Robinson","2016","263","66.9%","66","81.8%","14","64.3%","149","69.8%","329","45.3%","79.9%","20.1%","4.3%"
"Chris Hogan","2016","163","66.9%","90","82.2%","3","66.7%","79","68.4%","253","31.2%","64.4%","35.6%","1.2%"
"Robert Woods","2017","154","66.9%","92","81.5%","9","44.4%","71","62.0%","246","28.9%","62.6%","37.4%","3.7%"
"Robby Anderson","2018","145","66.9%","95","81.1%","4","75.0%","64","56.3%","240","26.7%","60.4%","39.6%","1.7%"
"Tyler Boyd","2018","154","66.9%","138","73.2%","4","0.0%","77","72.7%","292","26.4%","52.7%","47.3%","1.4%"
"Deebo Samuel","2019","160","66.9%","90","85.6%","3","100.0%","83","61.4%","250","33.2%","64.0%","36.0%","1.2%"
"Jarvis Landry","2019","136","66.9%","129","78.3%","10","70.0%","45","64.4%","265","17.0%","51.3%","48.7%","3.8%"
"Keenan Allen","2022","127","66.9%","172","79.7%","12","66.7%","17","58.8%","299","5.7%","42.5%","57.5%","4.0%"
"Chris Godwin","2022","139","66.9%","229","82.5%","16","50.0%","13","61.5%","368","3.5%","37.8%","62.2%","4.3%"
"Donte Moncrief","2014","78","66.7%","82","79.3%","1","0.0%","44","68.2%","160","27.5%","48.8%","51.3%","0.6%"
"Kenny Stills","2017","185","66.5%","103","74.8%","2","0.0%","89","62.9%","288","30.9%","64.2%","35.8%","0.7%"
"Darius Slayton","2019","176","66.5%","92","78.3%","6","66.7%","110","66.4%","268","41.0%","65.7%","34.3%","2.2%"
"Robby Anderson","2017","178","66.3%","93","77.4%","3","66.7%","67","59.7%","271","24.7%","65.7%","34.3%","1.1%"
"Albert Wilson","2015","136","66.2%","64","73.4%","2","50.0%","75","70.7%","200","37.5%","68.0%","32.0%","1.0%"
"Adam Thielen","2018","145","66.2%","186","85.5%","13","53.8%","67","67.2%","331","20.2%","43.8%","56.2%","3.9%"
"Will Fuller","2018","136","66.2%","89","76.4%","2","0.0%","67","62.7%","225","29.8%","60.4%","39.6%","0.9%"
"Amari Cooper","2018","165","66.1%","140","80.7%","21","52.4%","71","67.6%","305","23.3%","54.1%","45.9%","6.9%"
"Donte Moncrief","2015","159","66.0%","95","75.8%","9","55.6%","79","70.9%","254","31.1%","62.6%","37.4%","3.5%"
"Kenny Golladay","2018","156","66.0%","131","77.9%","7","28.6%","94","68.1%","287","32.8%","54.4%","45.6%","2.4%"
"Will Fuller","2019","159","66.0%","106","72.6%","3","66.7%","90","60.0%","265","34.0%","60.0%","40.0%","1.1%"
"Josh Doctson","2017","179","65.9%","88","76.1%","3","66.7%","90","61.1%","267","33.7%","67.0%","33.0%","1.1%"
"T.Y. Hilton","2017","170","65.9%","112","70.5%","7","42.9%","80","57.5%","282","28.4%","60.3%","39.7%","2.5%"
"Mike Williams","2022","164","65.9%","147","77.6%","23","47.8%","87","67.8%","311","28.0%","52.7%","47.3%","7.4%"
"Robby Anderson","2020","111","65.8%","166","77.7%","5","40.0%","22","72.7%","277","7.9%","40.1%","59.9%","1.8%"
"Jameson Williams","2024","67","65.7%","151","79.5%","4","50.0%","21","61.9%","218","9.6%","30.7%","69.3%","1.8%"
"Alshon Jeffery","2016","163","65.6%","102","79.4%","15","53.3%","80","66.3%","265","30.2%","61.5%","38.5%","5.7%"
"Xavier Legette","2024","113","65.5%","130","75.4%","4","75.0%","49","55.1%","243","20.2%","46.5%","53.5%","1.6%"
"Paul Richardson","2017","191","65.4%","83","79.5%","2","0.0%","54","59.3%","274","19.7%","69.7%","30.3%","0.7%"
"Torrey Smith","2015","124","65.3%","94","76.6%","2","50.0%","46","60.9%","218","21.1%","56.9%","43.1%","0.9%"
"DeAndre Hopkins","2024","95","65.3%","110","73.6%","4","50.0%","54","66.7%","205","26.3%","46.3%","53.7%","2.0%"
"Cooper Kupp","2023","141","65.2%","132","83.3%","19","47.4%","22","68.2%","273","8.1%","51.6%","48.4%","7.0%"
"Amari Cooper","2019","186","65.1%","75","78.7%","15","66.7%","67","53.7%","261","25.7%","71.3%","28.7%","5.7%"
"Michael Thomas*","2022","43","65.1%","60","73.3%","10","70.0%","26","73.1%","103","25.2%","41.7%","58.3%","9.7%"
"T.Y. Hilton","2019","137","65.0%","99","76.8%","15","53.3%","70","64.3%","236","29.7%","58.1%","41.9%","6.4%"
"George Pickens","2022","111","64.9%","161","68.3%","7","28.6%","58","72.4%","272","21.3%","40.8%","59.2%","2.6%"
"Jarvis Landry","2017","128","64.8%","144","79.9%","11","54.5%","52","61.5%","272","19.1%","47.1%","52.9%","4.0%"
"Brandin Cooks","2018","139","64.7%","145","77.9%","10","60.0%","103","63.1%","284","36.3%","48.9%","51.1%","3.5%"
"Corey Davis","2018","110","64.5%","149","77.2%","12","41.7%","35","60.0%","259","13.5%","42.5%","57.5%","4.6%"
"Rashee Rice*","2024","31","64.5%","59","89.8%","0","n/a","9","44.4%","90","10.0%","34.4%","65.6%","0.0%"
"Christian Watson","2022","73","64.4%","100","77.0%","7","42.9%","27","66.7%","173","15.6%","42.2%","57.8%","4.0%"
"Deebo Samuel","2021","98","64.3%","136","86.0%","13","61.5%","48","56.3%","234","20.5%","41.9%","58.1%","5.6%"
"DeSean Jackson","2017","179","64.2%","91","73.6%","5","40.0%","72","50.0%","270","26.7%","66.3%","33.7%","1.9%"
"Gabriel Davis","2021","120","64.2%","115","75.7%","3","66.7%","84","63.1%","235","35.7%","51.1%","48.9%","1.3%"
"Travis Benjamin","2015","128","64.1%","129","70.5%","2","0.0%","45","68.9%","257","17.5%","49.8%","50.2%","0.8%"
"Terrelle Pryor","2016","170","64.1%","112","76.8%","6","66.7%","64","68.8%","282","22.7%","60.3%","39.7%","2.1%"
"Golden Tate","2017","145","64.1%","128","81.3%","6","33.3%","58","62.1%","273","21.2%","53.1%","46.9%","2.2%"
"Julian Edelman","2016","139","64.0%","135","89.6%","7","28.6%","48","66.7%","274","17.5%","50.7%","49.3%","2.6%"
"Jarvis Landry","2016","105","63.8%","150","79.3%","10","60.0%","40","60.0%","255","15.7%","41.2%","58.8%","3.9%"
"Corey Davis","2020","116","63.8%","107","63.6%","3","33.3%","71","64.8%","223","31.8%","52.0%","48.0%","1.3%"
"Wan'Dale Robinson*","2022","47","63.8%","88","75.0%","2","50.0%","6","66.7%","135","4.4%","34.8%","65.2%","1.5%"
"Kelvin Benjamin","2014","146","63.7%","114","72.8%","19","42.1%","77","67.9%","260","29.6%","56.2%","43.8%","7.3%"
"Amari Cooper","2017","215","63.7%","69","78.3%","24","66.7%","115","55.7%","284","40.5%","75.7%","24.3%","8.5%"
"Hunter Renfrow","2021","113","63.7%","136","81.6%","8","25.0%","53","67.9%","249","21.3%","45.4%","54.6%","3.2%"
"Sammy Watkins","2019","137","63.5%","123","76.4%","4","25.0%","63","60.3%","260","24.2%","52.7%","47.3%","1.5%"
"Allen Hurns","2017","175","63.4%","77","70.1%","4","0.0%","72","55.6%","252","28.6%","69.4%","30.6%","1.6%"
"Khalil Shakir","2024","79","63.3%","133","80.5%","3","33.3%","11","63.6%","212","5.2%","37.3%","62.7%","1.4%"
"Devin Funchess","2017","171","63.2%","82","80.5%","17","58.8%","80","56.3%","253","31.6%","67.6%","32.4%","6.7%"
"Kenny Golladay","2017","182","63.2%","68","73.5%","3","33.3%","81","64.2%","250","32.4%","72.8%","27.2%","1.2%"
"Sammy Watkins","2017","184","63.0%","74","71.6%","22","50.0%","88","60.2%","258","34.1%","71.3%","28.7%","8.5%"
"Christian Kirk","2022","100","63.0%","163","81.0%","5","40.0%","35","65.7%","263","13.3%","38.0%","62.0%","1.9%"
"Jordan Addison","2023","135","63.0%","148","79.7%","6","50.0%","66","51.5%","283","23.3%","47.7%","52.3%","2.1%"
"Rashee Rice","2023","81","63.0%","133","79.7%","2","50.0%","22","68.2%","214","10.3%","37.9%","62.1%","0.9%"
"Mike Evans","2014","143","62.9%","130","63.1%","19","57.9%","50","66.0%","273","18.3%","52.4%","47.6%","7.0%"
"Mike Wallace","2014","151","62.9%","83","69.9%","13","61.5%","40","57.5%","234","17.1%","64.5%","35.5%","5.6%"
"Mike Wallace","2016","151","62.9%","83","69.9%","13","61.5%","40","57.5%","234","17.1%","64.5%","35.5%","5.6%"
"Josh Palmer","2024","97","62.9%","144","74.3%","4","0.0%","36","69.4%","241","14.9%","40.2%","59.8%","1.7%"
"Jeremy Maclin","2016","164","62.8%","110","80.9%","8","37.5%","58","48.3%","274","21.2%","59.9%","40.1%","2.9%"
"D.J. Moore","2024","121","62.8%","174","78.2%","6","33.3%","65","70.8%","295","22.0%","41.0%","59.0%","2.0%"
"Keke Coutee","2018","59","62.7%","107","79.4%","0","n/a","20","55.0%","166","12.0%","35.5%","64.5%","0.0%"
"Jarvis Landry","2014","99","62.6%","124","75.8%","5","20.0%","46","67.4%","223","20.6%","44.4%","55.6%","2.2%"
"DeVante Parker","2019","238","62.6%","101","71.3%","14","71.4%","131","61.8%","339","38.6%","70.2%","29.8%","4.1%"
"Amari Cooper","2020","99","62.6%","176","79.0%","12","58.3%","33","60.6%","275","12.0%","36.0%","64.0%","4.4%"
"Marquise Brown","2021","99","62.6%","211","82.0%","10","50.0%","23","56.5%","310","7.4%","31.9%","68.1%","3.2%"
"Chase Claypool","2021","131","62.6%","136","68.4%","3","66.7%","75","60.0%","267","28.1%","49.1%","50.9%","1.1%"
"Marquise Brown","2022","107","62.6%","201","82.1%","8","37.5%","20","65.0%","308","6.5%","34.7%","65.3%","2.6%"
"Amari Cooper","2021","112","62.5%","177","75.7%","15","60.0%","30","63.3%","289","10.4%","38.8%","61.2%","5.2%"
"Christian Watson","2023","88","62.5%","143","70.6%","7","14.3%","40","60.0%","231","17.3%","38.1%","61.9%","3.0%"
"Tim Patrick","2021","85","62.4%","137","73.7%","5","40.0%","42","59.5%","222","18.9%","38.3%","61.7%","2.3%"
"Dorial Green-Beckham","2015","148","62.2%","105","75.2%","11","54.5%","89","66.3%","253","35.2%","58.5%","41.5%","4.3%"
"Jordy Nelson","2016","223","61.9%","89","80.9%","13","69.2%","114","63.2%","312","36.5%","71.5%","28.5%","4.2%"
"Demaryius Thomas","2016","148","61.8%","103","70.9%","21","33.3%","89","58.5%","251","35.5%","59.0%","41.0%","8.4%"
"Kenny Golladay","2021","144","61.8%","108","66.7%","8","87.5%","74","68.9%","252","29.4%","57.1%","42.9%","3.2%"
"D.J. Moore","2019","201","61.7%","131","80.9%","12","58.3%","119","68.1%","332","35.8%","60.5%","39.5%","3.6%"
"Gabe Davis","2022","138","61.6%","149","71.1%","3","66.7%","70","57.1%","287","24.4%","48.1%","51.9%","1.0%"
"Adam Thielen","2016","182","61.5%","110","80.0%","5","80.0%","81","59.3%","292","27.7%","62.3%","37.7%","1.7%"
"Jamison Crowder","2017","122","61.5%","113","78.8%","1","0.0%","55","38.2%","235","23.4%","51.9%","48.1%","0.4%"
"Sammy Watkins","2018","143","61.5%","112","68.8%","3","0.0%","61","49.2%","255","23.9%","56.1%","43.9%","1.2%"
"Mike Williams","2021","148","61.5%","123","79.7%","8","75.0%","82","67.1%","271","30.3%","54.6%","45.4%","3.0%"
"Jalen McMillan","2024","96","61.5%","140","74.3%","1","0.0%","22","59.1%","236","9.3%","40.7%","59.3%","0.4%"
"Nelson Agholor","2015","145","61.4%","111","83.8%","3","66.7%","82","62.2%","256","32.0%","56.6%","43.4%","1.2%"
"Alshon Jeffery","2017","215","61.4%","53","77.4%","8","50.0%","127","61.4%","268","47.4%","80.2%","19.8%","3.0%"
"Christian Kirk","2021","88","61.4%","181","80.1%","5","40.0%","41","65.9%","269","15.2%","32.7%","67.3%","1.9%"
"Treylon Burks","2022","83","61.4%","96","75.0%","5","60.0%","39","59.0%","179","21.8%","46.4%","53.6%","2.8%"
"Mike Williams","2018","123","61.0%","97","79.4%","4","0.0%","70","58.6%","220","31.8%","55.9%","44.1%","1.8%"
"Amari Cooper","2024","100","61.0%","64","76.6%","7","57.1%","36","61.1%","164","22.0%","61.0%","39.0%","4.3%"
"JuJu Smith-Schuster","2017","138","60.9%","96","79.2%","6","50.0%","48","33.3%","234","20.5%","59.0%","41.0%","2.6%"
"Will Fuller","2017","202","60.9%","83","75.9%","1","0.0%","96","52.1%","285","33.7%","70.9%","29.1%","0.4%"
"Demaryius Thomas","2014","148","60.8%","103","70.9%","15","33.3%","87","59.8%","251","34.7%","59.0%","41.0%","6.0%"
"Hunter Renfrow","2019","79","60.8%","127","79.5%","2","0.0%","25","44.0%","206","12.1%","38.3%","61.7%","1.0%"
"Jamison Crowder","2019","137","60.6%","134","82.8%","2","0.0%","45","55.6%","271","16.6%","50.6%","49.4%","0.7%"
"LaViska Shenault","2020","99","60.6%","164","77.4%","2","50.0%","53","56.6%","263","20.2%","37.6%","62.4%","0.8%"
"Jarvis Landry","2021","99","60.6%","138","75.4%","5","20.0%","49","59.2%","237","20.7%","41.8%","58.2%","2.1%"
"Julian Edelman","2019","121","60.3%","145","83.4%","7","28.6%","42","76.2%","266","15.8%","45.5%","54.5%","2.6%"
"Amon-Ra St. Brown","2021","73","60.3%","148","80.4%","4","75.0%","23","52.2%","221","10.4%","33.0%","67.0%","1.8%"
"Courtland Sutton","2021","151","60.3%","147","76.9%","16","62.5%","87","62.1%","298","29.2%","50.7%","49.3%","5.4%"
"Robert Woods","2021","88","60.2%","188","77.1%","8","25.0%","47","57.4%","276","17.0%","31.9%","68.1%","2.9%"
