"Player","Year","Man Att","SR v Man","Zone Att","SR v Zone","Dbl Att","SR v Dlbl","Press Att","SR v Press","Routes","Press%","Man%","Zone%","Double%"
"Josh Downs","2023","120","77.5%","120","82.5%","4","50.0%","11","72.7%","240","4.6%","50.0%","50.0%","1.7%"
"Nico Collins","2024","111","77.5%","173","82.1%","37","78.4%","62","82.3%","284","21.8%","39.1%","60.9%","13.0%"
"Mike Evans","2024","129","77.5%","104","77.9%","32","68.8%","45","77.8%","233","19.3%","55.4%","44.6%","13.7%"
"Tyreek Hill","2020","106","77.4%","196","79.6%","40","67.5%","48","81.3%","302","15.9%","35.1%","64.9%","13.2%"
"Ja'Marr Chase","2024","164","77.4%","185","84.3%","39","74.4%","103","84.5%","349","29.5%","47.0%","53.0%","11.2%"
"Antonio Brown","2018","256","77.3%","108","86.1%","31","83.9%","173","79.2%","364","47.5%","70.3%","29.7%","8.5%"
"Keenan Allen","2020","132","77.3%","182","78.6%","15","80.0%","70","78.6%","314","22.3%","42.0%","58.0%","4.8%"
"Stefon Diggs","2018","219","77.2%","126","84.1%","23","60.9%","118","77.1%","345","34.2%","63.5%","36.5%","6.7%"
"Keenan Allen","2015","175","77.1%","125","80.0%","16","81.3%","98","79.6%","300","32.7%","58.3%","41.7%","5.3%"
"Brandon Aiyuk","2022","83","77.1%","136","79.4%","13","69.2%","29","79.3%","219","13.2%","37.9%","62.1%","5.9%"
"DeAndre Hopkins","2019","191","77.0%","115","82.6%","47","72.3%","115","79.1%","306","37.6%","62.4%","37.6%","15.4%"
"Diontae Johnson","2021","160","76.9%","124","88.7%","19","68.4%","110","79.1%","284","38.7%","56.3%","43.7%","6.7%"
"John Brown","2015","125","76.8%","159","78.0%","5","80.0%","71","74.6%","284","25.0%","44.0%","56.0%","1.8%"
"CeeDee Lamb","2021","138","76.8%","149","81.9%","18","83.3%","65","76.9%","287","22.6%","48.1%","51.9%","6.3%"
"Tyreek Hill","2019","129","76.7%","150","80.7%","25","76.0%","49","85.7%","279","17.6%","46.2%","53.8%","9.0%"
"Josh Downs","2024","103","76.7%","136","86.0%","9","44.4%","35","77.1%","239","14.6%","43.1%","56.9%","3.8%"
"Tyler Lockett","2015","107","76.6%","98","75.5%","1","100.0%","50","76.0%","205","24.4%","52.2%","47.8%","0.5%"
"Curtis Samuel","2018","158","76.6%","86","76.7%","3","66.7%","67","74.6%","244","27.5%","64.8%","35.2%","1.2%"
"Julio Jones","2018","192","76.6%","105","76.2%","27","66.7%","89","71.9%","297","30.0%","64.6%","35.4%","9.1%"
"Keenan Allen","2018","154","76.6%","120","87.5%","8","62.5%","64","78.1%","274","23.4%","56.2%","43.8%","2.9%"
"Keenan Allen","2019","197","76.6%","125","83.2%","34","82.4%","119","79.0%","322","37.0%","61.2%","38.8%","10.6%"
"Justin Jefferson","2023","145","76.6%","185","84.3%","52","71.2%","57","84.2%","330","17.3%","43.9%","56.1%","15.8%"
"Stefon Diggs","2019","170","76.5%","83","84.3%","29","79.3%","91","79.1%","253","36.0%","67.2%","32.8%","11.5%"
"Odell Beckham*","2020","102","76.5%","80","80.0%","15","73.3%","46","80.4%","182","25.3%","56.0%","44.0%","8.2%"
"Michael Thomas","2020","115","76.5%","114","80.7%","14","64.3%","70","78.6%","229","30.6%","50.2%","49.8%","6.1%"
"DeAndre Hopkins","2020","119","76.5%","172","83.7%","43","79.1%","57","73.7%","291","19.6%","40.9%","59.1%","14.8%"
"Justin Jefferson","2020","144","76.4%","139","81.3%","11","81.8%","79","82.3%","283","27.9%","50.9%","49.1%","3.9%"
"Calvin Ridley*","2021","72","76.4%","128","80.5%","22","68.2%","36","75.0%","200","18.0%","36.0%","64.0%","11.0%"
"Julio Jones","2016","186","76.3%","65","86.2%","26","73.1%","96","80.2%","251","38.2%","74.1%","25.9%","10.4%"
"Odell Beckham","2016","207","76.3%","91","85.7%","31","67.7%","88","84.1%","298","29.5%","69.5%","30.5%","10.4%"
"Julio Jones","2019","219","76.3%","107","79.4%","53","83.0%","114","77.2%","326","35.0%","67.2%","32.8%","16.3%"
"Tyler Lockett","2020","135","76.3%","195","83.6%","8","50.0%","55","78.2%","330","16.7%","40.9%","59.1%","2.4%"
"Chris Olave","2023","118","76.3%","151","81.5%","24","70.8%","48","77.1%","269","17.8%","43.9%","56.1%","8.9%"
"Chris Olave","2024","97","76.3%","90","82.2%","27","81.5%","35","77.1%","187","18.7%","51.9%","48.1%","14.4%"
"Calvin Ridley","2018","122","76.2%","119","84.0%","2","0.0%","56","78.6%","241","23.2%","50.6%","49.4%","0.8%"
"John Brown","2019","189","76.2%","71","78.9%","33","81.8%","99","76.8%","260","38.1%","72.7%","27.3%","12.7%"
"Stevie Johnson","2014","92","76.1%","75","78.7%","6","50.0%","30","86.7%","167","18.0%","55.1%","44.9%","3.6%"
"Diontae Johnson","2022","134","76.1%","147","83.7%","22","72.7%","77","77.9%","281","27.4%","47.7%","52.3%","7.8%"
"Davante Adams","2023","142","76.1%","128","84.4%","42","78.6%","76","80.3%","270","28.1%","52.6%","47.4%","15.6%"
"Puka Nacua","2024","88","76.1%","148","85.1%","18","88.9%","41","80.5%","236","17.4%","37.3%","62.7%","7.6%"
"Tyreek Hill","2018","150","76.0%","152","82.9%","33","75.8%","65","78.5%","302","21.5%","49.7%","50.3%","10.9%"
"Terry McLaurin","2019","150","76.0%","97","75.3%","12","91.7%","79","79.7%","247","32.0%","60.7%","39.3%","4.9%"
"Calvin Ridley","2020","146","76.0%","161","81.4%","21","90.5%","90","75.6%","307","29.3%","47.6%","52.4%","6.8%"
"Antonio Brown","2020","162","75.9%","81","82.7%","8","37.5%","78","70.5%","243","32.1%","66.7%","33.3%","3.3%"
"DK Metcalf","2020","158","75.9%","130","75.4%","15","66.7%","79","81.0%","288","27.4%","54.9%","45.1%","5.2%"
"A.J. Green","2016","154","75.8%","90","77.4%","32","66.7%","92","77.8%","244","37.7%","63.1%","36.9%","13.1%"
"Curtis Samuel","2020","120","75.8%","144","78.5%","3","100.0%","41","70.7%","264","15.5%","45.5%","54.5%","1.1%"
"Chris Olave","2022","99","75.8%","170","81.2%","15","60.0%","40","77.5%","269","14.9%","36.8%","63.2%","5.6%"
"Tyreek Hill","2023","99","75.8%","140","83.6%","30","66.7%","50","82.0%","239","20.9%","41.4%","58.6%","12.6%"
"Ladd McConkey","2024","99","75.8%","132","81.8%","24","54.2%","32","84.4%","231","13.9%","42.9%","57.1%","10.4%"
"Sterling Shepard","2019","152","75.7%","151","76.2%","12","83.3%","62","80.6%","303","20.5%","50.2%","49.8%","4.0%"
"Brandon Aiyuk","2020","115","75.7%","171","77.8%","6","66.7%","67","77.6%","286","23.4%","40.2%","59.8%","2.1%"
"Tyreek Hill","2021","103","75.7%","164","84.8%","32","62.5%","53","81.1%","267","19.9%","38.6%","61.4%","12.0%"
"Tyreek Hill","2022","74","75.7%","178","84.3%","34","67.6%","29","82.8%","252","11.5%","29.4%","70.6%","13.5%"
"Tyler Lockett","2021","82","75.6%","156","80.1%","8","75.0%","21","76.2%","238","8.8%","34.5%","65.5%","3.4%"
"DeVonta Smith","2022","123","75.6%","152","81.6%","10","80.0%","52","78.8%","275","18.9%","44.7%","55.3%","3.6%"
"CeeDee Lamb","2022","119","75.6%","149","80.5%","37","67.6%","37","78.4%","268","13.8%","44.4%","55.6%","13.8%"
"Dez Bryant","2014","159","75.5%","93","82.8%","35","57.1%","100","81.0%","252","39.7%","63.1%","36.9%","13.9%"
"Chris Godwin","2019","167","75.4%","134","80.6%","7","85.7%","51","80.4%","301","16.9%","55.5%","44.5%","2.3%"
"Curtis Samuel","2019","191","75.4%","107","76.6%","13","84.6%","85","74.1%","298","28.5%","64.1%","35.9%","4.4%"
"Curtis Samuel","2023","126","75.4%","133","80.5%","1","100.0%","32","68.8%","259","12.4%","48.6%","51.4%","0.4%"
"Ja'Marr Chase","2023","118","75.4%","194","82.0%","40","70.0%","81","80.2%","312","26.0%","37.8%","62.2%","12.8%"
"Malik Nabers","2024","130","75.4%","134","79.9%","24","50.0%","56","76.8%","264","21.2%","49.2%","50.8%","9.1%"
"Ja'Marr Chase","2021","150","75.3%","131","78.6%","19","73.7%","114","81.6%","281","40.6%","53.4%","46.6%","6.8%"
"Ja'Marr Chase","2022","154","75.3%","164","80.5%","61","67.2%","116","80.2%","318","36.5%","48.4%","51.6%","19.2%"
"Elijah Moore","2021","101","75.2%","140","81.4%","7","71.4%","60","73.3%","241","24.9%","41.9%","58.1%","2.9%"
"Terry McLaurin","2022","133","75.2%","140","77.9%","31","64.5%","71","81.7%","273","26.0%","48.7%","51.3%","11.4%"
"Diontae Johnson","2023","105","75.2%","141","82.3%","7","85.7%","46","78.3%","246","18.7%","42.7%","57.3%","2.8%"
"Chris Godwin*","2024","109","75.2%","123","83.7%","6","50.0%","14","71.4%","232","6.0%","47.0%","53.0%","2.6%"
"Diontae Johnson","2019","144","75.0%","93","82.8%","7","71.4%","60","75.0%","237","25.3%","60.8%","39.2%","3.0%"
"Jerry Jeudy","2020","144","75.0%","141","74.5%","20","60.0%","91","73.6%","285","31.9%","50.5%","49.5%","7.0%"
"Allen Robinson","2021","108","75.0%","112","75.0%","27","74.1%","36","83.3%","220","16.4%","49.1%","50.9%","12.3%"
"Brian Thomas Jr.","2024","92","75.0%","154","77.3%","12","58.3%","52","80.8%","246","21.1%","37.4%","62.6%","4.9%"
"Jaxon Smith-Njigba","2024","104","75.0%","202","79.2%","15","66.7%","18","72.2%","306","5.9%","34.0%","66.0%","4.9%"
"Michael Pittman","2023","139","74.8%","151","80.8%","17","58.8%","36","80.6%","290","12.4%","47.9%","52.1%","5.9%"
"Michael Thomas","2016","177","74.6%","96","84.4%","15","73.3%","86","80.2%","273","31.5%","64.8%","35.2%","5.5%"
"John Brown","2018","173","74.6%","103","71.8%","11","81.8%","83","68.7%","276","30.1%","62.7%","37.3%","4.0%"
"Sterling Shepard","2018","122","74.6%","159","78.0%","2","0.0%","54","75.9%","281","19.2%","43.4%","56.6%","0.7%"
"DK Metcalf","2022","142","74.6%","123","76.4%","23","43.5%","65","75.4%","265","24.5%","53.6%","46.4%","8.7%"
"Davante Adams","2024","126","74.6%","135","77.0%","30","56.7%","53","79.2%","261","20.3%","48.3%","51.7%","11.5%"
"Garrett Wilson","2022","137","74.5%","155","79.4%","28","67.9%","69","81.2%","292","23.6%","46.9%","53.1%","9.6%"
"Terry McLaurin","2024","121","74.4%","108","75.9%","12","83.3%","68","75.0%","229","29.7%","52.8%","47.2%","5.2%"
"Michael Pittman","2021","101","74.3%","172","83.7%","27","77.8%","45","82.2%","273","16.5%","37.0%","63.0%","9.9%"
"Julio Jones","2020","151","74.2%","129","79.8%","32","75.0%","107","73.8%","280","38.2%","53.9%","46.1%","11.4%"
"Keenan Allen","2021","120","74.2%","184","77.2%","18","66.7%","49","73.5%","304","16.1%","39.5%","60.5%","5.9%"
"Michael Pittman","2022","120","74.2%","194","82.5%","32","65.6%","38","81.6%","314","12.1%","38.2%","61.8%","10.2%"
"Drake London","2024","116","74.1%","147","81.6%","26","76.9%","33","78.8%","263","12.5%","44.1%","55.9%","9.9%"
"Pierre Garcon","2016","154","74.0%","93","79.6%","5","40.0%","75","70.7%","247","30.4%","62.3%","37.7%","2.0%"
"Tyler Lockett","2018","127","74.0%","112","79.5%","7","71.4%","47","70.2%","239","19.7%","53.1%","46.9%","2.9%"
"Tyreek Hill","2017","138","73.9%","109","81.7%","19","52.6%","48","81.3%","247","19.4%","55.9%","44.1%","7.7%"
"A.J. Brown","2019","119","73.9%","68","76.5%","3","33.3%","59","71.2%","187","31.6%","63.6%","36.4%","1.6%"
"D.K. Metcalf","2019","199","73.9%","74","81.1%","7","57.1%","91","74.7%","273","33.3%","72.9%","27.1%","2.6%"
"Tyrell Williams","2016","198","73.7%","114","86.8%","11","54.5%","84","70.2%","312","26.9%","63.5%","36.5%","3.5%"
"Allen Robinson","2015","178","73.6%","98","74.5%","35","65.7%","109","78.9%","276","39.5%","64.5%","35.5%","12.7%"
"Emmanuel Sanders","2016","174","73.6%","131","82.4%","18","66.7%","80","76.3%","305","26.2%","57.0%","43.0%","5.9%"
"Marquise Brown","2019","125","73.6%","89","85.4%","23","47.8%","31","64.5%","214","14.5%","58.4%","41.6%","10.7%"
"DeVonta Smith","2021","106","73.6%","110","82.7%","8","75.0%","41","78.0%","216","19.0%","49.1%","50.9%","3.7%"
"Kenny Golladay","2019","199","73.4%","70","81.4%","32","75.0%","99","75.8%","269","36.8%","74.0%","26.0%","11.9%"
"Stefon Diggs","2023","109","73.4%","124","80.6%","34","70.6%","67","74.6%","233","28.8%","46.8%","53.2%","14.6%"
"Anthony Miller","2019","135","73.3%","161","81.4%","2","0.0%","43","79.1%","296","14.5%","45.6%","54.4%","0.7%"
"Chris Godwin","2018","149","73.2%","105","77.1%","9","44.4%","68","67.6%","254","26.8%","58.7%","41.3%","3.5%"
"Adam Thielen","2020","127","73.2%","122","75.4%","14","71.4%","62","69.4%","249","24.9%","51.0%","49.0%","5.6%"
"Calvin Ridley","2024","127","73.2%","126","79.4%","15","46.7%","65","78.5%","253","25.7%","50.2%","49.8%","5.9%"
"Emmanuel Sanders","2019","130","73.1%","97","80.4%","8","87.5%","73","63.0%","227","32.2%","57.3%","42.7%","3.5%"
"Mike Evans","2023","119","73.1%","135","77.0%","33","66.7%","61","75.4%","254","24.0%","46.9%","53.1%","13.0%"
"DeVonta Smith","2023","93","73.1%","170","80.6%","8","75.0%","35","77.1%","263","13.3%","35.4%","64.6%","3.0%"
"Marvin Harrison Jr.","2024","134","73.1%","132","81.1%","28","60.7%","67","76.1%","266","25.2%","50.4%","49.6%","10.5%"
"Puka Nacua","2023","137","73.0%","150","79.3%","13","69.2%","54","72.2%","287","18.8%","47.7%","52.3%","4.5%"
"Rashod Bateman","2023","107","72.9%","67","76.1%","4","50.0%","37","78.4%","174","21.3%","61.5%","38.5%","2.3%"
"Jayden Reed","2024","70","72.9%","153","82.4%","4","25.0%","21","76.2%","223","9.4%","31.4%","68.6%","1.8%"
