"Year","Player","Open Space Att","Open Space %","Broken Tackle %","1 Broken Tackle %","2+ Broken Tackle %"
"2015","Devin Funchess","11","7.1%","54.5%","54.5%","0.0%"
"2015","Donte Moncrief","17","6.7%","47.1%","35.3%","11.8%"
"2015","Dorial Green-Beckham","12","4.7%","50.0%","33.3%","16.7%"
"2015","Doug Baldwin","17","7.3%","35.3%","29.4%","5.9%"
"2015","Golden Tate","30","10.5%","66.6%","53.3%","13.3%"
"2015","Jamison Crowder","17","7.1%","47.1%","35.3%","11.8%"
"2015","John Brown","19","6.7%","36.8%","36.8%","0.0%"
"2015","Kamar Aiken","15","5.5%","66.7%","66.7%","0.0%"
"2015","Keenan Allen","33","11.1%","42.4%","30.3%","12.1%"
"2015","Marvin Jones","16","7.6%","75.0%","62.5%","12.5%"
"2015","Mike Evans","18","6.4%","55.6%","50.0%","5.6%"
"2015","Nelson Agholor","6","2.3%","66.7%","66.7%","0.0%"
"2015","Sammy Watkins","14","5.9%","57.2%","42.9%","14.3%"
"2015","Stefon Diggs","22","9.3%","59.1%","36.4%","22.7%"
"2015","Torrey Smith","10","4.6%","10.0%","10.0%","0.0%"
"2015","Travis Benjamin","15","5.8%","46.7%","46.7%","0.0%"
"2015","Tyler Lockett","14","6.8%","50.0%","42.9%","7.1%"
"2015","Willie Snead","21","8.0%","52.4%","42.9%","9.5%"
"2015","Eric Decker","22","8.2%","27.3%","27.3%","0.0%"
"2015","Martavis Bryant","24","8.4%","58.3%","50.0%","8.3%"
"2014","Antonio Brown","56","18.2%","83.9%","35.7%","48.2%"
"2014","Jarvis Landry","35","15.7%","45.7%","40.0%","5.7%"
"2014","Demaryius Thomas","32","12.8%","65.7%","43.8%","21.9%"
"2014","Randall Cobb","30","12.2%","70.0%","53.3%","16.7%"
"2014","Odell Beckham Jr.","28","9.4%","67.9%","53.6%","14.3%"
"2014","Andre Johnson","28","10.1%","42.8%","35.7%","7.1%"
"2014","Percy Harvin","27","13.6%","48.1%","37.0%","11.1%"
"2014","Sammy Watkins","25","8.4%","36.0%","28.0%","8.0%"
"2014","Jordan Matthews","23","10.6%","56.5%","39.1%","17.4%"
"2014","Michael Crabtree","23","10.0%","43.4%","30.4%","13.0%"
"2014","Dez Bryant","21","8.3%","61.9%","38.1%","23.8%"
"2014","Mike Evans","20","6.9%","35.0%","35.0%","0.0%"
"2014","Davante Adams","20","7.2%","55.0%","55.0%","0.0%"
"2014","Brandin Cooks","19","7.3%","31.6%","31.6%","0.0%"
"2014","Stevie Johnson","19","11.2%","52.7%","47.4%","5.3%"
"2014","Charles Johnson","18","8.1%","38.9%","38.9%","0.0%"
"2014","John Brown","15","6.8%","33.3%","33.3%","0.0%"
"2014","Kelvin Benjamin","13","5.0%","53.8%","53.8%","0.0%"
"2014","Donte Moncrief","12","7.5%","58.3%","33.3%","25.0%"
"2014","Mike Wallace","12","5.0%","41.6%","33.3%","8.3%"
"2014","Kenny Stills","11","4.7%","45.5%","36.4%","9.1%"
"2014","Dwayne Bowe","11","4.9%","63.6%","54.5%","9.1%"
"2014","Allen Robinson","10","4.3%","50.0%","30.0%","20.0%"
"2014","Martavis Bryant","9","5.9%","44.4%","33.3%","11.1%"
"2014","Justin Hunter","8","3.1%","62.5%","50.0%","12.5%"
"2014","Marqise Lee","18","6.7%","55.5%","44.4%","11.1%"
"2014","Paul Richardson","12","6.8%","41.7%","41.7%","0.0%"
