"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Chris Godwin","2021","316","100.0%","76.0%","82.8%","58.8%","78.6%","53.6%","42.9%","92.0%","66.7%","85.2%","76.9%"
"Robert Woods","2021","276","100.0%","80.4%","76.7%","63.9%","61.5%","41.7%","50.0%","68.8%","65.2%","90.9%","72.7%"
"DeAndre Hopkins","2021","254","100.0%","77.8%","90.7%","80.0%","77.8%","53.8%","71.4%","66.7%","86.7%","85.7%","100.0%"
"Cooper Kupp","2021","272","100.0%","80.9%","74.2%","85.2%","87.1%","56.3%","76.9%","88.5%","60.0%","100.0%","90.0%"
"Tyreek Hill","2021","267","100.0%","86.2%","84.4%","80.0%","84.8%","76.9%","72.2%","61.5%","88.9%","76.5%","90.0%"
"Stefon Diggs","2021","269","100.0%","87.2%","93.1%","68.0%","88.2%","67.8%","85.7%","83.3%","100.0%","92.9%","66.7%"
"Tyler Lockett","2021","238","100.0%","78.1%","72.7%","78.6%","77.3%","72.5%","75.0%","73.9%","84.6%","85.2%","100.0%"
"D.J. Moore","2021","278","100.0%","78.0%","75.0%","76.6%","61.1%","53.3%","70.0%","87.5%","81.8%","83.3%","100.0%"
"Keenan Allen","2021","304","100.0%","81.8%","77.1%","72.7%","53.8%","64.7%","64.3%","86.4%","81.3%","76.9%","62.5%"
"Brandin Cooks","2021","241","100.0%","73.5%","90.0%","61.9%","71.4%","67.6%","64.3%","65.2%","46.2%","90.5%","71.4%"
"Mike Evans","2021","297","100.0%","77.8%","86.0%","79.6%","56.3%","60.9%","53.8%","78.3%","92.3%","85.7%","50.0%"
"Allen Lazard","2021","212","100.0%","63.3%","76.5%","52.4%","61.5%","42.3%","61.5%","87.5%","66.7%","87.5%","50.0%"
"Kenny Golladay","2021","252","N/A","65.2%","69.4%","72.4%","64.0%","55.0%","62.5%","65.0%","80.0%","50.0%","50.0%"
"Tim Patrick","2021","222","100.0%","73.2%","79.5%","82.1%","66.7%","47.1%","47.1%","72.7%","50.0%","78.6%","87.5%"
"Tyler Boyd","2021","263","100.0%","81.0%","73.2%","63.6%","76.2%","38.5%","55.6%","71.4%","46.2%","82.1%","88.9%"
"Courtland Sutton","2021","298","100.0%","93.3%","83.6%","63.8%","66.7%","38.6%","76.9%","47.1%","40.0%","50.0%","50.0%"
"Jakobi Meyers","2021","265","100.0%","84.6%","100.0%","60.5%","57.1%","62.1%","50.0%","80.6%","50.0%","88.5%","63.6%"
"Julio Jones","2021","199","100.0%","70.7%","84.0%","73.2%","76.5%","47.1%","66.7%","64.7%","60.0%","75.0%","N/A"
"Calvin Ridley*","2021","200","100.0%","93.1%","97.0%","73.0%","71.4%","78.3%","50.0%","63.0%","80.0%","80.0%","60.0%"
"Justin Jefferson","2020","283","100.0%","89.9%","79.4%","80.0%","78.3%","69.4%","70.0%","70.4%","83.3%","72.7%","77.8%"
"CeeDee Lamb","2020","281","100.0%","80.7%","71.1%","76.5%","60.0%","76.5%","66.7%","68.8%","66.7%","87.5%","83.3%"
"Allen Robinson","2020","311","100.0%","83.8%","85.4%","66.7%","81.0%","70.2%","66.7%","76.0%","60.0%","79.2%","87.5%"
"Chris Godwin","2020","292","100.0%","80.3%","75.8%","81.8%","74.5%","62.5%","83.3%","77.4%","33.3%","84.6%","70.0%"
"Will Fuller","2020","275","100.0%","83.1%","80.0%","72.3%","76.5%","67.2%","62.5%","64.0%","80.0%","78.6%","37.5%"
"Kenny Golladay*","2020","136","N/A","80.6%","78.6%","81.8%","76.9%","56.0%","100.0%","57.1%","50.0%","83.3%","100.0%"
"Antonio Brown","2020","243","100.0%","85.7%","65.8%","71.4%","75.0%","65.9%","66.7%","80.0%","100.0%","100.0%","88.9%"
"Curtis Samuel","2020","264","100.0%","88.5%","65.0%","69.2%","74.3%","62.5%","70.0%","67.9%","72.7%","94.1%","61.5%"
"Corey Davis","2020","223","100.0%","68.8%","72.2%","63.3%","45.5%","52.9%","36.4%","62.5%","75.0%","33.3%","100.0%"
"JuJu Smith-Schuster","2020","319","100.0%","80.6%","71.8%","68.4%","54.5%","33.3%","50.0%","66.7%","0.0%","81.1%","66.7%"
"Nelson Agholor","2020","224","100.0%","70.3%","68.2%","70.6%","64.0%","72.7%","58.3%","72.2%","83.3%","70.0%","76.9%"
"T.Y. Hilton","2020","265","100.0%","57.1%","67.3%","65.6%","71.4%","46.0%","66.7%","84.0%","57.1%","50.0%","100.0%"
"Rashard Higgins","2020","213","N/A","76.3%","94.1%","76.2%","63.2%","65.9%","50.0%","68.4%","73.7%","100.0%","100.0%"
"Marvin Jones","2020","276","100.0%","75.4%","93.1%","67.6%","75.0%","64.2%","78.6%","80.0%","93.3%","50.0%","87.5%"
"Denzel Mims","2020","230","100.0%","87.5%","65.4%","72.2%","69.2%","58.6%","50.0%","85.7%","50.0%","90.0%","87.5%"
"Henry Ruggs","2020","200","100.0%","57.5%","68.8%","57.1%","71.4%","57.1%","85.7%","63.0%","50.0%","72.7%","76.2%"
"Tee Higgins","2020","283","100.0%","76.5%","87.9%","71.9%","73.9%","61.1%","80.0%","57.1%","92.9%","78.6%","57.1%"
"Brandon Aiyuk","2020","286","100.0%","84.9%","88.0%","74.4%","83.3%","62.7%","61.5%","75.0%","81.0%","69.2%","57.1%"
"Michael Pittman","2020","211","88.9%","91.5%","82.1%","66.7%","63.0%","60.7%","100.0%","50.0%","50.0%","66.7%","50.0%"
"Jalen Reagor","2020","251","100.0%","62.2%","74.2%","66.7%","52.0%","27.5%","66.7%","70.6%","40.0%","88.9%","33.3%"
"Jerry Jeudy","2020","285","100.0%","87.3%","70.0%","62.5%","87.0%","59.3%","62.5%","66.7%","100.0%","75.0%","66.7%"
"LaViska Shenault","2020","263","96.0%","80.8%","65.4%","79.2%","73.7%","56.3%","42.9%","53.8%","60.9%","88.2%","58.3%"
"Chase Claypool","2020","209","100.0%","89.1%","74.1%","33.3%","66.7%","55.4%","83.3%","85.7%","80.0%","90.0%","83.3%"
"Darnell Mooney","2020","266","100.0%","80.3%","86.5%","80.0%","57.7%","55.6%","40.0%","75.0%","33.3%","86.2%","87.5%"
"Gabriel Davis","2020","245","100.0%","69.4%","81.8%","70.6%","33.3%","69.6%","66.7%","54.5%","66.7%","85.7%","42.9%"
"Julio Jones","2020","280","100.0%","75.4%","79.4%","83.1%","87.0%","54.2%","54.5%","75.0%","66.7%","84.2%","83.3%"
"Diontae Johnson","2020","349","100.0%","91.7%","90.0%","82.4%","87.5%","67.1%","58.3%","84.4%","60.0%","83.3%","66.7%"
"A.J. Brown","2020","211","100.0%","79.6%","88.5%","78.1%","83.3%","70.6%","66.7%","69.2%","72.7%","100.0%","100.0%"
"Calvin Ridley","2020","307","100.0%","76.5%","84.0%","83.9%","80.0%","71.2%","86.7%","80.0%","66.7%","81.8%","85.7%"
"Marquise Brown","2020","211","100.0%","87.1%","74.1%","68.4%","81.8%","63.6%","76.5%","77.8%","62.5%","100.0%","77.8%"
"D.J. Moore","2020","275","100.0%","86.8%","80.0%","61.5%","75.0%","62.3%","100.0%","84.2%","71.4%","89.5%","85.7%"
"DK Metcalf","2020","288","100.0%","82.5%","89.3%","72.7%","66.7%","66.7%","54.5%","100.0%","86.7%","66.7%","60.0%"
"D.J. Chark","2020","274","100.0%","80.8%","77.1%","70.8%","70.8%","59.7%","55.0%","60.0%","50.0%","70.0%","66.7%"
"Terry McLaurin","2020","272","100.0%","84.4%","85.0%","73.9%","89.7%","68.9%","54.5%","60.0%","82.4%","100.0%","40.0%"
"Deebo Samuel*","2020","177","100.0%","82.9%","62.5%","81.8%","57.1%","39.1%","55.6%","57.1%","50.0%","90.0%","20.0%"
"Michael Gallup","2020","307","100.0%","72.9%","78.7%","66.7%","68.4%","61.8%","33.3%","70.8%","75.6%","100.0%","75.0%"
"Odell Beckham*","2020","182","100.0%","83.3%","80.0%","72.2%","69.2%","69.0%","73.3%","78.6%","100.0%","66.7%","71.4%"
"Michael Thomas","2020","229","100.0%","82.4%","85.0%","81.3%","75.0%","71.4%","63.6%","81.0%","70.0%","87.5%","55.6%"
"Mike Williams","2020","283","100.0%","70.5%","78.4%","71.4%","73.9%","66.7%","61.5%","53.3%","66.7%","57.1%","71.4%"
"Robby Anderson","2020","277","100.0%","81.0%","65.5%","70.6%","57.1%","64.1%","62.5%","59.1%","80.0%","85.7%","75.0%"
"Davante Adams","2020","254","100.0%","85.9%","89.5%","90.5%","68.8%","60.9%","55.6%","80.0%","75.0%","89.3%","100.0%"
"Tyreek Hill","2020","302","100.0%","80.8%","76.5%","84.2%","85.0%","73.0%","64.5%","58.8%","100.0%","100.0%","71.4%"
"Stefon Diggs","2020","271","100.0%","89.1%","92.7%","74.1%","75.0%","60.0%","76.9%","77.8%","85.7%","88.2%","83.3%"
"DeAndre Hopkins","2020","291","100.0%","82.8%","86.5%","77.8%","75.0%","64.3%","50.0%","92.6%","76.9%","87.5%","75.0%"
"Adam Thielen","2020","249","100.0%","78.6%","80.0%","81.1%","86.4%","55.6%","61.1%","77.8%","77.8%","76.5%","80.0%"
"Tyler Lockett","2020","330","100.0%","83.1%","75.0%","78.4%","76.0%","68.8%","75.0%","81.3%","93.8%","88.9%","71.4%"
"Mike Evans","2020","276","100.0%","73.2%","85.2%","80.0%","80.6%","56.0%","54.5%","93.3%","70.0%","80.0%","25.0%"
"Keenan Allen","2020","314","100.0%","84.5%","80.0%","75.6%","67.7%","75.0%","75.0%","63.0%","75.0%","85.7%","66.7%"
"Robert Woods","2020","277","100.0%","78.5%","70.0%","70.8%","76.5%","40.0%","75.0%","78.0%","72.2%","81.8%","70.0%"
"Amari Cooper","2020","275","100.0%","80.7%","71.4%","72.0%","57.9%","60.4%","75.0%","77.8%","88.2%","83.3%","66.7%"
"Cooper Kupp","2020","245","100.0%","79.6%","64.9%","90.9%","70.6%","40.0%","63.6%","64.0%","66.7%","90.5%","90.9%"
"Jakobi Meyers","2020","193","100.0%","78.0%","90.9%","72.5%","66.7%","50.0%","40.0%","81.0%","80.0%","83.3%","100.0%"
"Chris Godwin","2019","301","100.0%","83.7%","73.7%","87.2%","69.8%","78.6%","60.0%","77.8%","75.0%","72.2%","37.5%"
"DeAndre Hopkins","2019","306","100.0%","81.6%","90.9%","79.1%","86.4%","64.2%","75.0%","79.2%","100.0%","88.0%","54.5%"
"Odell Beckham","2019","279","100.0%","87.0%","74.4%","56.9%","82.6%","52.3%","50.0%","61.9%","100.0%","100.0%","41.7%"
"Kenny Golladay","2019","269","100.0%","73.8%","86.1%","88.0%","66.7%","70.5%","71.4%","82.4%","80.0%","63.6%","60.0%"
"Cooper Kupp","2019","269","100.0%","73.6%","63.9%","81.8%","45.5%","46.7%","33.3%","81.5%","100.0%","89.8%","73.3%"
"Tyler Lockett","2019","312","100.0%","83.3%","77.3%","76.0%","77.8%","77.8%","54.5%","64.0%","78.6%","85.0%","83.3%"
"Jarvis Landry","2019","265","100.0%","83.9%","70.0%","61.5%","82.6%","44.8%","57.1%","92.0%","60.0%","61.8%","71.4%"
"Courtland Sutton","2019","263","100.0%","80.4%","73.3%","85.2%","69.6%","57.6%","66.7%","68.8%","85.7%","72.7%","60.0%"
"D.J. Moore","2019","332","100.0%","81.1%","71.0%","76.7%","46.2%","50.0%","64.3%","75.0%","57.7%","71.4%","54.5%"
"Michael Thomas","2019","287","100.0%","84.3%","85.7%","82.9%","81.8%","55.2%","42.9%","77.4%","88.9%","88.2%","33.3%"
"Keenan Allen","2019","322","100.0%","81.9%","86.7%","79.1%","70.4%","63.6%","66.7%","81.1%","66.7%","95.7%","66.7%"
"Amari Cooper","2019","261","100.0%","68.9%","69.6%","79.2%","84.6%","48.2%","100.0%","64.3%","90.9%","83.3%","62.5%"
"JuJu Smith-Schuster","2019","262","100.0%","84.0%","80.8%","87.5%","62.5%","33.3%","20.0%","65.0%","40.0%","82.8%","76.9%"
"Stefon Diggs","2019","253","100.0%","82.6%","81.8%","75.0%","81.8%","64.3%","100.0%","82.4%","85.7%","100.0%","66.7%"
"Allen Robinson","2019","282","100.0%","80.8%","80.0%","81.3%","89.5%","76.0%","46.7%","63.6%","85.7%","93.8%","100.0%"
"Diontae Johnson","2019","237","100.0%","91.7%","78.6%","81.3%","71.4%","55.0%","33.3%","70.4%","86.4%","87.5%","60.0%"
"Terry McLaurin","2019","247","100.0%","82.4%","75.5%","75.0%","83.3%","63.6%","83.3%","72.7%","72.2%","66.7%","60.0%"
"D.J. Chark","2019","317","100.0%","77.1%","78.4%","82.8%","67.9%","61.0%","60.0%","75.9%","80.0%","76.2%","57.1%"
"Marquise Brown","2019","214","100.0%","78.9%","93.3%","84.2%","78.3%","64.9%","61.5%","84.6%","69.2%","100.0%","33.3%"
"Darius Slayton","2019","268","90.9%","74.4%","74.6%","70.6%","50.0%","60.7%","54.5%","82.4%","100.0%","100.0%","66.7%"
"Deebo Samuel","2019","250","100.0%","85.7%","65.2%","79.4%","80.0%","50.0%","66.7%","68.8%","44.4%","77.8%","84.6%"
"Calvin Ridley","2019","347","100.0%","86.7%","83.1%","74.6%","66.7%","77.4%","61.5%","85.3%","75.0%","73.7%","75.0%"
"Michael Gallup","2019","300","100.0%","73.2%","73.9%","78.3%","78.6%","73.0%","33.3%","62.5%","74.1%","0.0%","87.5%"
"DeVante Parker","2019","338","100.0%","70.6%","61.7%","60.0%","64.0%","63.8%","50.0%","70.0%","33.3%","80.0%","50.0%"
"DK Metcalf","2019","273","100.0%","91.4%","91.9%","81.3%","60.0%","61.0%","40.0%","80.0%","83.3%","83.3%","54.5%"
"Julio Jones","2019","326","100.0%","83.8%","88.6%","73.1%","83.3%","70.0%","88.2%","52.9%","85.0%","73.7%","66.7%"
"Hunter Renfrow","2019","206","100.0%","77.9%","85.0%","57.1%","44.4%","44.4%","50.0%","66.7%","50.0%","80.0%","58.3%"
"A.J. Brown","2019","187","100.0%","88.1%","80.0%","79.3%","60.0%","48.1%","66.7%","64.7%","80.0%","100.0%","70.0%"
"Tyreek Hill","2019","279","100.0%","84.7%","73.7%","87.5%","79.6%","78.3%","60.0%","77.3%","100.0%","91.7%","46.2%"
"Jamison Crowder","2019","271","100.0%","66.3%","76.2%","73.5%","76.9%","41.7%","40.0%","71.4%","55.6%","82.9%","76.9%"
"Anthony Miller","2019","296","100.0%","78.7%","73.0%","78.9%","75.0%","61.3%","73.9%","85.7%","75.0%","95.0%","63.6%"
"Davante Adams","2019","273","100.0%","88.2%","85.0%","88.6%","79.2%","61.4%","54.5%","69.6%","100.0%","92.3%","20.0%"
"Mike Evans","2019","291","100.0%","82.1%","77.3%","68.9%","68.4%","63.2%","63.6%","76.2%","81.3%","75.0%","53.8%"
"Robert Woods","2019","309","100.0%","76.2%","70.0%","53.8%","61.1%","41.7%","80.0%","76.7%","77.8%","86.8%","60.0%"
"Adam Thielen","2019","216","100.0%","81.0%","78.6%","64.0%","85.0%","66.7%","69.2%","73.7%","77.8%","91.7%","33.3%"
"T.Y. Hilton","2019","236","100.0%","69.8%","78.3%","69.6%","50.0%","57.6%","60.0%","61.9%","85.7%","100.0%","40.0%"
"Marvin Jones","2019","265","100.0%","79.1%","90.0%","59.5%","57.7%","57.1%","50.0%","47.4%","60.0%","33.3%","70.0%"
"Julian Edelman","2019","266","100.0%","79.2%","58.8%","76.9%","64.7%","33.3%","40.0%","76.5%","100.0%","78.0%","76.2%"
"Sterling Shepard","2019","303","100.0%","82.4%","82.9%","63.9%","70.4%","60.0%","77.8%","52.9%","100.0%","89.7%","66.7%"
"Alshon Jeffery","2019","265","100.0%","65.9%","75.0%","72.2%","68.4%","54.7%","71.4%","63.0%","54.5%","0.0%","42.9%"
"Golden Tate","2019","286","100.0%","88.9%","57.4%","84.2%","61.1%","41.3%","83.3%","50.0%","64.7%","87.0%","55.6%"
"Will Fuller","2019","265","100.0%","62.9%","82.9%","65.5%","62.5%","65.5%","61.1%","65.2%","28.6%","91.3%","60.0%"
"Tyler Boyd","2019","283","100.0%","65.3%","63.8%","61.8%","81.8%","38.5%","75.0%","58.3%","46.2%","84.2%","55.6%"
"Brandin Cooks","2019","256","90.0%","71.7%","72.0%","64.6%","88.9%","57.6%","81.8%","66.7%","61.9%","75.0%","100.0%"
"Emmanuel Sanders","2019","227","100.0%","78.8%","86.7%","75.0%","82.4%","50.0%","22.2%","83.3%","87.5%","90.0%","81.0%"
"Sammy Watkins","2019","260","100.0%","70.9%","62.2%","70.6%","73.1%","56.3%","40.0%","71.4%","100.0%","100.0%","55.6%"
"Mike Williams","2019","230","90.0%","72.7%","80.0%","67.9%","67.4%","67.5%","58.8%","88.9%","66.7%","100.0%","66.7%"
"Preston Williams","2019","246","N/A","62.8%","73.7%","62.2%","72.2%","43.1%","50.0%","58.3%","20.0%","100.0%","0.0%"
"John Brown","2019","260","100.0%","80.3%","91.2%","69.6%","72.0%","54.8%","85.7%","81.3%","71.4%","100.0%","100.0%"
"Curtis Samuel","2019","298","100.0%","76.1%","83.9%","75.0%","83.3%","62.8%","100.0%","65.5%","81.0%","80.0%","75.0%"
"Antonio Brown","2018","364","93.8%","84.5%","96.2%","64.3%","81.8%","66.3%","93.0%","88.2%","66.7%","100.0%","58.8%"
"JuJu Smith-Schuster","2018","361","100.0%","75.8%","68.5%","74.3%","38.5%","31.6%","33.0%","60.7%","75.0%","82.8%","65.0%"
"Stefon Diggs","2018","345","100.0%","86.3%","92.3%","60.0%","64.7%","66.0%","63.0%","87.5%","88.9%","83.3%","46.7%"
"Adam Thielen","2018","331","100.0%","77.1%","69.1%","78.0%","83.3%","69.6%","71.0%","76.5%","63.6%","83.8%","76.2%"
"John Brown","2018","276","100.0%","80.0%","93.1%","84.6%","71.9%","63.4%","33.0%","75.0%","71.4%","85.7%","40.0%"
"Odell Beckham","2018","339","100.0%","84.5%","80.0%","87.5%","72.4%","71.2%","71.0%","79.3%","90.0%","87.5%","66.7%"
"Corey Davis","2018","259","100.0%","75.8%","70.6%","62.5%","83.3%","62.1%","73.0%","53.3%","81.8%","83.3%","80.0%"
"Amari Cooper","2018","305","100.0%","84.7%","79.5%","61.1%","73.1%","55.1%","65.0%","75.0%","66.7%","100.0%","66.7%"
"Chris Godwin","2018","254","100.0%","78.2%","78.9%","76.2%","60.0%","64.1%","67.0%","92.3%","76.5%","82.4%","42.9%"
"Allen Robinson","2018","269","100.0%","85.7%","80.0%","73.9%","61.5%","59.5%","50.0%","61.5%","66.7%","80.0%","33.3%"
"Brandin Cooks","2018","284","100.0%","66.1%","60.0%","72.3%","88.2%","53.7%","71.0%","79.4%","84.6%","82.4%","60.0%"
"Kenny Golladay","2018","287","100.0%","82.5%","79.4%","70.5%","66.7%","65.4%","73.0%","60.7%","53.3%","76.9%","66.7%"
"Davante Adams","2018","334","100.0%","86.7%","86.0%","84.4%","72.2%","69.4%","80.0%","77.8%","100.0%","86.4%","81.8%"
"Mike Williams","2018","220","100.0%","67.3%","68.8%","71.4%","73.1%","61.4%","57.0%","75.0%","66.7%","88.9%","60.0%"
"A.J. Green","2018","260","100.0%","82.7%","76.2%","62.1%","70.0%","51.2%","74.0%","81.8%","100.0%","88.9%","60.0%"
"Tyler Boyd","2018","292","100.0%","65.1%","64.7%","84.0%","57.6%","60.6%","100.0%","76.2%","66.7%","80.4%","58.8%"
"Michael Thomas","2018","273","100.0%","85.0%","94.3%","90.5%","84.6%","55.6%","50.0%","85.7%","100.0%","100.0%","66.7%"
"Sterling Shepard","2018","281","100.0%","80.6%","89.3%","63.0%","76.0%","59.4%","70.0%","68.4%","50.0%","88.1%","87.5%"
"Tyler Lockett","2018","239","100.0%","92.9%","78.8%","75.0%","85.7%","65.1%","50.0%","58.8%","100.0%","85.7%","83.3%"
"Calvin Ridley","2018","241","100.0%","86.0%","87.5%","77.8%","73.9%","66.7%","50.0%","77.3%","90.9%","90.5%","75.0%"
"D.J. Moore","2018","293","100.0%","76.3%","63.6%","54.3%","60.0%","43.4%","50.0%","53.3%","58.3%","100.0%","60.0%"
"Cooper Kupp","2018","226","100.0%","68.3%","61.9%","56.5%","71.4%","33.3%","29.0%","85.7%","66.7%","91.8%","78.6%"
"Sammy Watkins","2018","255","100.0%","72.2%","84.6%","57.9%","88.2%","30.0%","0.0%","72.7%","66.7%","87.0%","45.5%"
"Robby Anderson","2018","240","100.0%","80.9%","65.5%","87.5%","71.4%","55.7%","90.0%","77.8%","81.3%","90.0%","100.0%"
"Julio Jones","2018","297","100.0%","79.3%","88.9%","78.3%","86.4%","60.0%","50.0%","70.4%","85.7%","81.3%","66.7%"
"DeAndre Hopkins","2018","319","100.0%","80.8%","70.6%","82.9%","80.0%","54.5%","55.0%","83.3%","84.6%","94.1%","57.1%"
"T.Y. Hilton","2018","280","100.0%","73.4%","72.1%","60.0%","72.7%","76.7%","79.0%","81.5%","93.8%","79.2%","60.0%"
"Julian Edelman","2018","267","100.0%","83.1%","70.6%","84.6%","88.2%","33.3%","100.0%","92.9%","50.0%","84.9%","76.2%"
"Keenan Allen","2018","274","100.0%","90.5%","85.1%","80.6%","80.0%","50.0%","80.0%","75.0%","80.0%","90.9%","88.9%"
"Mike Evans","2018","323","N/A","75.4%","79.5%","73.8%","69.2%","63.2%","86.0%","62.5%","80.0%","80.0%","69.2%"
"Robert Woods","2018","246","100.0%","76.0%","68.8%","71.4%","62.5%","51.6%","90.0%","76.9%","88.9%","94.7%","95.2%"
"Alshon Jeffery","2018","274","100.0%","75.0%","69.6%","77.1%","75.8%","57.1%","53.0%","76.2%","80.0%","33.3%","66.7%"
"Dante Pettis","2018","249","100.0%","73.8%","70.8%","79.6%","76.5%","55.3%","67.0%","75.9%","72.7%","84.6%","40.0%"
"Geronimo Allison*","2018","152","100.0%","66.7%","73.1%","51.7%","53.8%","33.3%","50.0%","0.0%","50.0%","77.8%","50.0%"
"Marvin Jones","2018","281","100.0%","67.4%","77.1%","53.5%","75.0%","60.0%","57.0%","55.0%","50.0%","25.0%","50.0%"
"Will Fuller*","2018","225","100.0%","81.5%","85.7%","69.7%","82.6%","57.4%","40.0%","64.0%","100.0%","83.3%","36.4%"
"Dede Westbrook","2018","295","100.0%","79.7%","53.3%","58.2%","66.7%","56.7%","47.0%","65.2%","50.0%","81.8%","80.0%"
"Courtland Sutton","2018","268","100.0%","72.4%","59.5%","68.2%","80.0%","48.9%","60.0%","62.5%","63.6%","58.3%","57.1%"
"Golden Tate","2018","274","100.0%","70.9%","76.5%","78.4%","63.0%","46.7%","25.0%","64.3%","42.9%","73.1%","62.5%"
"Jarvis Landry","2018","278","100.0%","66.2%","61.5%","78.1%","55.6%","36.6%","86.0%","77.8%","100.0%","73.1%","63.6%"
"DeSean Jackson","2018","260","100.0%","72.7%","77.1%","60.7%","70.6%","65.6%","55.0%","66.7%","78.6%","88.9%","50.0%"
"Anthony Miller","2018","218","100.0%","68.6%","76.9%","71.4%","75.0%","69.6%","75.0%","58.3%","100.0%","95.7%","75.0%"
"Albert Wilson*","2018","122","100.0%","86.7%","75.0%","88.9%","71.4%","50.0%","N/A","50.0%","100.0%","71.4%","75.0%"
"Larry Fitzgerald","2018","281","100.0%","78.7%","73.3%","73.8%","65.2%","40.0%","40.0%","71.0%","0.0%","79.3%","73.3%"
"Christian Kirk","2018","212","95.2%","79.2%","83.7%","80.0%","81.8%","53.3%","20.0%","68.0%","55.6%","87.5%","62.5%"
"Curtis Samuel","2018","244","100.0%","75.0%","80.6%","75.0%","84.6%","61.7%","60.0%","85.7%","93.3%","100.0%","66.7%"
"Mohamed Sanu","2018","273","100.0%","61.5%","59.4%","57.1%","66.7%","53.3%","33.0%","71.4%","40.0%","90.9%","56.3%"
"Kenny Stills","2018","288","100.0%","78.7%","62.3%","78.1%","78.3%","59.3%","71.0%","68.2%","76.5%","73.7%","100.0%"
"Keke Coutee*","2018","166","100.0%","73.3%","81.0%","64.7%","85.7%","64.3%","0.0%","65.2%","40.0%","77.8%","66.7%"
"Tyreek Hill","2018","302","100.0%","87.3%","81.6%","60.0%","74.4%","64.4%","88.0%","68.8%","80.0%","85.0%","91.7%"
"Dez Bryant","2017","262","100.0%","60.6%","65.7%","68.9%","61.1%","36.8%","50.0%","75.0%","100.0%","100.0%","37.5%"
"Amari Cooper","2017","284","100.0%","76.1%","73.8%","83.3%","81.8%","47.9%","75.0%","66.7%","100.0%","69.2%","66.7%"
"Devin Funchess","2017","253","100.0%","67.3%","85.7%","75.7%","73.1%","45.5%","83.0%","70.8%","100.0%","81.8%","55.6%"
"Brandin Cooks","2017","295","100.0%","56.5%","54.3%","35.0%","68.4%","66.0%","69.0%","61.5%","46.2%","75.0%","50.0%"
"Michael Thomas","2017","234","90.0%","83.3%","77.8%","82.9%","63.6%","58.6%","53.0%","69.2%","100.0%","86.7%","46.2%"
"Robert Woods","2017","246","100.0%","72.1%","84.6%","71.4%","54.5%","48.4%","75.0%","73.9%","68.8%","89.5%","82.8%"
"JuJu Smith-Schuster","2017","234","100.0%","76.8%","81.6%","89.5%","66.7%","34.6%","100.0%","57.1%","50.0%","31.6%","81.8%"
"Davante Adams","2017","285","100.0%","87.7%","68.2%","83.3%","72.7%","50.7%","40.0%","70.6%","50.0%","94.1%","77.8%"
"Keenan Allen","2017","262","100.0%","82.5%","85.7%","89.3%","70.0%","52.0%","80.0%","78.9%","80.0%","86.4%","66.7%"
"Adam Thielen","2017","261","100.0%","79.1%","82.6%","69.6%","72.7%","54.2%","72.0%","62.5%","100.0%","81.8%","63.2%"
"Demaryius Thomas","2017","279","100.0%","71.2%","92.0%","68.2%","46.4%","47.2%","67.0%","51.9%","80.0%","64.7%","61.5%"
"Antonio Brown","2017","333","100.0%","87.2%","77.3%","73.9%","89.3%","70.5%","88.0%","96.3%","83.3%","100.0%","73.7%"
"DeAndre Hopkins","2017","316","100.0%","73.2%","85.7%","70.0%","79.2%","51.6%","62.0%","93.3%","90.0%","81.8%","75.0%"
"Tyreek Hill","2017","247","95.7%","76.9%","85.7%","77.3%","76.7%","72.9%","60.0%","63.6%","100.0%","88.2%","56.3%"
"Stefon Diggs","2017","229","100.0%","83.0%","78.8%","85.7%","88.0%","69.7%","75.0%","77.8%","88.9%","81.8%","76.9%"
"Corey Davis","2017","252","100.0%","82.4%","72.7%","66.0%","70.0%","65.5%","50.0%","72.2%","71.4%","77.8%","72.7%"
"Sammy Watkins","2017","258","100.0%","76.5%","56.3%","85.7%","69.0%","49.1%","50.0%","60.9%","53.3%","80.0%","50.0%"
"Michael Crabtree","2017","225","100.0%","85.4%","88.7%","81.8%","82.4%","52.8%","67.0%","72.7%","100.0%","80.0%","85.7%"
"Jordy Nelson","2017","278","100.0%","62.1%","72.7%","63.0%","73.9%","39.6%","18.0%","59.1%","100.0%","81.5%","60.0%"
"Marvin Jones","2017","291","100.0%","76.7%","71.1%","59.5%","57.7%","57.5%","50.0%","60.9%","60.0%","33.3%","50.0%"
"Mike Evans","2017","276","100.0%","71.7%","83.3%","66.7%","70.0%","62.5%","80.0%","66.7%","81.0%","100.0%","28.6%"
"Josh Gordon*","2017","166","N/A","79.1%","57.1%","73.3%","75.0%","75.0%","60.0%","85.7%","70.0%","83.3%","100.0%"
"Alshon Jeffery","2017","268","100.0%","66.1%","69.6%","77.1%","60.7%","55.0%","57.0%","60.0%","60.0%","20.0%","60.0%"
"Doug Baldwin","2017","285","100.0%","74.1%","74.5%","76.5%","75.8%","76.0%","76.0%","62.5%","100.0%","86.7%","75.0%"
"DeVante Parker","2017","286","88.9%","88.9%","61.5%","58.6%","44.7%","42.6%","36.0%","50.0%","46.7%","100.0%","71.4%"
"Golden Tate","2017","273","100.0%","75.0%","78.6%","63.4%","61.1%","52.2%","40.0%","75.0%","100.0%","71.0%","71.4%"
