"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Calvin Ridley","2024","253","100.0%","86.1%","80.6%","86.8%","77.3%","57.9%","54.5%","83.3%","83.3%","71.4%","80.0%"
"Jauan Jennings","2024","252","N/A","72.7%","80.0%","75.0%","71.4%","52.4%","53.3%","78.0%","78.3%","71.4%","91.7%"
"Jerry Jeudy","2024","335","100.0%","71.0%","74.1%","81.9%","75.0%","40.6%","42.9%","71.1%","100.0%","87.0%","100.0%"
"Courtland Sutton","2024","238","100.0%","75.9%","66.7%","75.8%","81.8%","55.3%","65.0%","94.1%","50.0%","50.0%","85.7%"
"Jaylen Waddle","2024","228","100.0%","77.4%","83.3%","77.1%","77.8%","66.7%","42.9%","76.0%","100.0%","66.7%","100.0%"
"DeVonta Smith","2024","245","100.0%","83.7%","81.6%","93.1%","82.1%","53.8%","55.6%","82.8%","66.7%","90.0%","70.0%"
"Amon-Ra St. Brown","2024","272","100.0%","89.2%","88.5%","82.8%","72.2%","55.2%","71.4%","66.7%","75.0%","88.9%","72.7%"
"A.J. Brown","2024","210","100.0%","87.2%","79.3%","85.2%","83.3%","58.3%","90.0%","84.0%","100.0%","50.0%","88.2%"
"Josh Palmer","2024","241","N/A","73.0%","75.0%","76.1%","81.3%","50.0%","60.0%","63.6%","68.8%","100.0%","62.5%"
"Mike Evans","2024","233","100.0%","82.0%","75.0%","81.8%","76.9%","62.1%","61.1%","81.1%","100.0%","100.0%","90.0%"
"Justin Jefferson","2024","277","100.0%","86.7%","78.3%","86.7%","86.4%","73.1%","71.4%","78.8%","81.8%","83.3%","81.8%"
"CeeDee Lamb","2024","256","100.0%","86.3%","94.1%","84.6%","76.9%","55.2%","76.5%","73.7%","88.9%","92.9%","70.0%"
"Ja'Marr Chase","2024","349","100.0%","86.7%","73.9%","82.8%","71.4%","60.0%","90.0%","89.1%","80.0%","81.3%","100.0%"
"Rashod Bateman","2024","180","100.0%","93.5%","90.9%","79.5%","72.2%","33.3%","83.3%","78.9%","50.0%","100.0%","90.0%"
"Tee Higgins","2023","280","N/A","78.0%","78.0%","71.2%","83.3%","54.4%","73.3%","65.5%","100.0%","100.0%","100.0%"
"Mike Evans","2023","254","100.0%","83.0%","72.7%","77.8%","61.9%","59.5%","72.7%","86.8%","100.0%","77.8%","72.7%"
"Calvin Ridley","2023","286","100.0%","82.1%","72.2%","83.8%","88.9%","59.3%","73.3%","84.6%","74.2%","88.9%","100.0%"
"Marquise Brown","2023","290","100.0%","73.9%","78.0%","79.5%","81.5%","52.6%","46.7%","88.9%","0.0%","100.0%","50.0%"
"Michael Pittman","2023","290","100.0%","84.3%","79.3%","73.0%","77.8%","50.0%","76.9%","75.0%","83.3%","76.5%","80.0%"
"Gabe Davis","2023","267","100.0%","58.7%","70.7%","61.8%","70.0%","60.0%","57.1%","73.3%","50.0%","80.0%","80.0%"
"Jerry Jeudy","2023","233","100.0%","77.8%","64.3%","59.1%","68.0%","54.2%","57.9%","58.3%","N/A","89.5%","90.9%"
"Keenan Allen","2023","311","100.0%","87.3%","83.3%","73.9%","63.2%","42.4%","62.5%","69.4%","80.0%","93.1%","90.9%"
"Drake London","2023","252","66.7%","82.7%","84.5%","79.3%","68.4%","52.0%","63.2%","88.0%","66.7%","88.9%","80.0%"
"Curtis Samuel","2023","259","100.0%","77.6%","83.3%","82.6%","63.0%","60.0%","80.0%","72.7%","85.7%","88.2%","75.0%"
