"Player","Year","Tar","Contested Tar","Contested Tar%","Contested Catch%"
"Allen Robinson","2014","60","14","23.3%","64.3%"
"Andre Johnson","2014","85","17","20.0%","76.5%"
"Antonio Brown","2014","97","22","22.7%","81.8%"
"Brandin Cooks","2014","53","11","20.8%","54.5%"
"Charles Johnson","2014","50","11","22.0%","27.3%"
"Davante Adams","2014","49","6","12.2%","66.7%"
"Demaryius Thomas","2014","88","14","15.9%","50.0%"
"Dez Bryant","2014","72","18","25.0%","72.2%"
"Donte Moncrief","2014","40","9","22.5%","77.8%"
"Dwayne Bowe","2014","50","17","34.0%","70.6%"
"Jarvis Landry","2014","63","9","14.3%","88.9%"
"John Brown","2014","63","7","11.1%","57.1%"
"Jordan Matthews","2014","54","16","29.6%","56.3%"
"Justin Hunter","2014","41","15","36.6%","26.7%"
"Kelvin Benjamin","2014","75","21","28.0%","71.4%"
"Kenny Stills","2014","47","10","21.3%","80.0%"
"Marqise Lee","2014","56","9","16.1%","44.4%"
"Martavis Bryant","2014","43","12","27.9%","58.3%"
"Michael Crabtree","2014","49","13","26.5%","76.9%"
"Mike Evans","2014","78","22","28.2%","77.3%"
"Mike Wallace","2014","56","12","21.4%","66.7%"
"Odell Beckham","2014","97","23","23.7%","82.6%"
"Paul Richardson","2014","35","5","14.3%","80.0%"
"Percy Harvin","2014","50","8","16.0%","62.5%"
"Randall Cobb","2014","63","16","25.4%","68.8%"
"Sammy Watkins","2014","71","13","18.3%","46.2%"
"Stevie Johnson","2014","40","7","17.5%","71.4%"
