Updated 09/23/25 at 09:18pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Devaughn Vele,WR124,WR,NOS,1563,27.8,No,WR122,1353,,-0.8400000000000005
Spencer Rattler,QB38,QB,NOS,1554,25.0,No,QB31,2430,QB32,1944.99
2027 Late 4th,,PI,,1546,,,,1479,,-0.8500000000000005
KaVontae Turpin,WR125,WR,DAL,1545.99,29.1,No,WR117,1424,,-0.8600000000000005
Mac Jones,QB39,QB,SFO,1542,27.0,No,QB35,2113,QB35,1226
Jaleel McLaughlin,RB85,RB,DEN,1533,25.0,No,RB87,1307,,-0.8700000000000006
Russell Wilson,QB40,QB,NYG,1523,36.8,No,QB40,1683,QB31,2266
Ray-Ray McCloud,WR126,WR,ATL,1518,28.9,No,WR126,1306,,-0.8800000000000006
Ja'Lynn Polk,WR127,WR,NOS,1513,23.4,No,WR128,1275,WR166,972
2028 Mid 4th,,PI,,1505,,,,1418,,-0.8900000000000006
Jeremy McNichols,RB86,RB,WAS,1504.99,29.7,No,RB82,1396,,-0.9000000000000006
Damien Martinez,RB87,RB,SEA,1490,21.6,Yes,RB91,1265,RB77,1257
Ty Johnson,RB88,RB,BUF,1483,28.0,No,RB86,1315,,-0.9100000000000006
Tahj Washington,WR128,WR,MIA,1478,24.4,No,WR124,1318,,-0.9200000000000006
Jake Tonges,TE45,TE,SFO,1469,26.2,No,TE44,1347,,-0.9300000000000006
Will Howard,QB41,QB,PIT,1461,24.0,Yes,QB43,1525,QB46,1122
Tyler Goodson,RB89,RB,IND,1447,24.9,No,RB89,1270,,-0.9400000000000006
Jacob Cowing,WR129,WR,SFO,1444,24.6,No,WR129,1261,WR109,1392
Antonio Gibson,RB90,RB,NEP,1433,27.2,No,RB88,1271,RB136,959
2028 Late 4th,,PI,,1425,,,,1225,,-0.9500000000000006
Xavier Restrepo,WR130,WR,TEN,1415,23.4,Yes,WR132,1229,WR130,1134
Raheim Sanders,RB91,RB,CLE,1411,23.3,Yes,RB90,1269.99,,-0.9600000000000006
Noah Brown,WR131,WR,WAS,1392,29.7,No,WR131,1243,,-0.9700000000000006
Darnell Washington,TE46,TE,PIT,1389,24.1,No,TE46,1288,,-0.9800000000000006
Kendrick Bourne,WR132,WR,SFO,1386,30.1,No,WR130,1244,WR93,1946.99
Phil Mafah,RB92,RB,DAL,1385,22.9,Yes,RB92,1209,,-0.9900000000000007
Jordan Watkins,WR133,WR,SFO,1382,23.6,Yes,WR133,1204,,-1.0000000000000007
Audric Estime,RB93,RB,PHI,1369,22.0,No,RB95,1138,RB92,1127
Quinn Ewers,QB42,QB,MIA,1341,22.4,Yes,QB44,1452,,-1.0100000000000007
Gabriel Davis,WR134,WR,BUF,1334,26.5,No,WR135,1182,,-1.0200000000000007
Tommy Tremble,TE47,TE,CAR,1317,25.3,No,TE48,1184,,-1.0300000000000007
Will Dissly,TE48,TE,LAC,1313,29.2,No,TE49,1151,,-1.0400000000000007
Luke Schoonmaker,TE49,TE,DAL,1312.99,27.0,No,TE51,1136,,-1.0500000000000007
Erick All,TE50,TE,CIN,1307,25.0,No,TE50,1142,,-1.0600000000000007
Tyler Higbee,TE51,TE,LAR,1304,32.7,No,TE47,1243.99,TE36,2320
Nick Westbrook-Ikhine,WR135,WR,MIA,1293,28.5,No,WR137,1162,,-1.0700000000000007
Javon Baker,WR136,WR,PHI,1280,23.6,No,WR143,1034,,-1.0800000000000007
Devin Singletary,RB94,RB,NYG,1273,28.0,No,RB94,1140,RB72,1695
Tyler Badie,RB96,RB,DEN,1267,25.6,No,RB96,1135.99,,-1.0900000000000007
Elijah Mitchell,RB95,RB,KCC,1266.99,27.4,No,RB97,1129,RB73,1370
Donovan Edwards,RB97,RB,WAS,1264,22.6,Yes,RB99,1081,,-1.1000000000000008
Elijah Higgins,TE52,TE,ARI,1261,24.9,No,TE52,1121,,-1.1100000000000008
Arian Smith,WR137,WR,NYJ,1258,24.0,Yes,WR134,1202,,-1.1200000000000008
Zamir White,RB98,RB,LVR,1257.99,26.0,No,RB93,1148,,-1.1300000000000008
Tyler Conklin,TE53,TE,LAC,1233,30.2,No,TE53,1099,,-1.1400000000000008
Daniel Bellinger,TE54,TE,NYG,1224,25.0,No,TE54,1058,,-1.1500000000000008
Curtis Samuel,WR138,WR,BUF,1221,29.1,No,WR138,1113,WR87,2329
Greg Dortch,WR139,WR,ARI,1215,27.3,No,WR136,1166,,-1.1600000000000008
Chris Brooks,RB99,RB,GBP,1213,25.7,No,RB98,1082,,-1.1700000000000008
Jamari Thrash,WR140,WR,CLE,1205,24.8,No,WR139,1102,,-1.1800000000000008
Rasheen Ali,RB100,RB,BAL,1199,24.6,No,RB103,1025,,-1.1900000000000008
Colby Parkinson,TE55,TE,LAR,1181,26.7,No,TE56,1004,,-1.2000000000000008
Jake Bobo,WR141,WR,SEA,1174,27.1,No,WR146,1003,,-1.2100000000000009
Tyler Lockett,WR142,WR,TEN,1171,33.0,No,WR140,1070,WR84,2504
Rondale Moore,WR143,WR,MIN,1159,25.3,No,WR141,1063,WR158,1028
Malachi Corley,WR144,WR,CLE,1154,23.5,No,WR142,1044,WR116,1153
Emari Demercado,RB101,RB,ARI,1150,26.7,No,RB100,1076,,-1.2200000000000009
Jonathan Mingo,WR145,WR,DAL,1147,24.4,No,WR145,1022,,-1.2300000000000009
Greg Dulcich,TE56,TE,MIA,1130,25.5,No,TE58,948,,-1.2400000000000009
Bub Means,WR146,WR,NOS,1117,24.7,No,WR155,926,,-1.2500000000000009
Konata Mumpfield,WR147,WR,LAR,1116,22.9,Yes,WR144,1027,,-1.260000000000001
AJ Dillon,RB102,RB,PHI,1112,27.4,No,RB102,1039,,-1.270000000000001
Malik Willis,QB43,QB,GBP,1111,26.3,No,QB45,1359,QB41,1141
Jared Wiley,TE57,TE,KCC,1110.99,24.9,No,TE59,942,,-1.280000000000001
Israel Abanikanda,RB103,RB,GBP,1105,23.0,No,RB106,932,,-1.290000000000001
Jameis Winston,QB44,QB,NYG,1102,31.7,No,QB46,1306.99,QB55,1051
Julius Chestnut,RB104,RB,TEN,1099,24.9,No,RB105,955,,-1.300000000000001
Hassan Haskins,RB105,RB,LAC,1091,25.8,No,RB104,972,RB143,923
Tylan Wallace,WR148,WR,BAL,1090,26.4,No,WR148,983,,-1.310000000000001
Ty Chandler,RB106,RB,MIN,1086,27.4,No,RB101,1053,RB76,1268
Davis Allen,TE58,TE,LAR,1083,24.6,No,TE55,1008,,-1.320000000000001
Tyler Johnson,WR149,WR,NYJ,1082.99,27.1,No,WR147,990,,-1.330000000000001
Brevin Jordan,TE59,TE,HOU,1081,25.2,No,TE57,984,,-1.340000000000001
Frank Gore Jr.,RB107,RB,BUF,1057,23.5,No,RB111,849,,-1.350000000000001
Cam Akers,RB108,RB,MIN,1055,26.2,No,RB109,881,,-1.360000000000001
Skyy Moore,WR150,WR,SFO,1042,25.0,No,WR153,935,WR141,1109
Joe Flacco,QB45,QB,CLE,1018,40.7,No,QB42,1603.99,,-1.370000000000001
Dylan Laube,RB109,RB,LVR,1017.99,25.8,No,RB110,873,,-1.380000000000001
Kirk Cousins,QB46,QB,ATL,1017,37.1,No,QB48,1098.99,QB51,1106
Mason Tipton,WR151,WR,NOS,1012,25.0,No,WR159,888,,-1.390000000000001
Allen Lazard,WR152,WR,NYJ,1007,29.8,No,WR163,833,,-1.400000000000001
Ainias Smith,WR153,WR,CAR,1006,24.3,No,WR157,906,,-1.410000000000001
Zay Jones,WR154,WR,ARI,1004,30.5,No,WR149,966,WR111,1204
Josh Reynolds,WR155,WR,NYJ,1002,30.6,No,WR154,931.99,WR90,2192
Brock Wright,TE60,TE,DET,998,26.8,No,TE60,924,,-1.420000000000001
Demarcus Robinson,WR156,WR,SFO,993,31.0,No,WR151,964,WR104,1603
Mack Hollins,WR157,WR,NEP,989,32.0,No,WR156,905.99,,-1.430000000000001
LaJohntay Wester,WR158,WR,BAL,986,23.5,Yes,WR161,850,,-1.440000000000001
Brandin Cooks,WR159,WR,NOS,984,32.0,No,WR152,950,WR105,1592
Treylon Burks,WR160,WR,TEN,982,25.5,No,WR165,812,,-1.450000000000001
Deuce Vaughn,RB110,RB,DEN,972,23.9,No,RB115,808,,-1.460000000000001
Adam Trautman,TE61,TE,DEN,967,28.6,No,TE63,866,,-1.470000000000001
Kenny McIntosh,RB111,RB,SEA,964,25.6,No,RB113,835,,-1.480000000000001
Grant Calcaterra,TE62,TE,PHI,949,26.8,No,TE61,890,,-1.490000000000001
Sam Howell,QB47,QB,PHI,945,25.0,No,QB54,1020,QB53,1097
Johnny Wilson,WR161,WR,PHI,944.99,24.5,No,WR160,858,WR120,1148
Bo Melton,WR162,WR,GBP,941,26.2,No,WR158,887.99,,-1.500000000000001
Zavier Scott,RB112,RB,MIN,940,26.2,No,RB108,889,,-1.5100000000000011
Samaje Perine,RB113,RB,CIN,935,30.0,No,RB112,841,,-1.5200000000000011
Derius Davis,WR163,WR,LAC,930,25.0,No,WR166,811,,-1.5300000000000011
Carson Wentz,QB48,QB,MIN,929,32.7,No,QB41,1661,QB52,1101
Thomas Fidone,TE63,TE,NYG,928.99,23.0,Yes,TE62,880,,-1.5400000000000011
Sterling Shepard,WR164,WR,TBB,923,32.6,No,WR150,965,,-1.5500000000000012
Xavier Gipson,WR165,WR,FA,922.99,24.5,No,WR164,818,,-1.5600000000000012
Taysom Hill,TE64,TE,NOS,914,35.1,No,TE65,848,TE42,1146
Kendall Milton,RB114,RB,CIN,911,23.6,No,RB107,895,,-1.5700000000000012
Josh Oliver,TE65,TE,MIN,890,28.5,No,TE66,807,,-1.5800000000000012
David Bell,WR166,WR,CLE,882,24.8,No,WR162,834.99,,-1.5900000000000012
Sione Vaki,RB115,RB,DET,880,24.2,No,RB116,778,,-1.6000000000000012
Trey Sermon,RB116,RB,PIT,878,26.6,No,RB114,828,,-1.6100000000000012
Van Jefferson,WR167,WR,TEN,870,29.2,No,WR167,774,WR112,1175
Jeremy Ruckert,TE66,TE,NYJ,864,25.1,No,TE64,848.99,,-1.6200000000000012
Malik Heath,WR168,WR,GBP,860,25.6,No,WR170,740,,-1.6300000000000012
Alexander Mattison,RB117,RB,MIA,852,27.3,No,RB117,760,RB131,979
Darren Waller,TE67,TE,MIA,847,33.0,No,TE67,781,TE39,2265.99
Marquez Valdes-Scantling,WR169,WR,SFO,846.99,31.0,No,WR169,763,WR152,1058
Kimani Vidal,RB118,RB,FA,846.98,24.1,No,RB119,690,,-1.6400000000000012
Mecole Hardman,WR170,WR,GBP,840,27.5,No,WR171,715,,-1.6500000000000012
Eric Gray,RB119,RB,NYG,834,25.9,No,RB118,709,,-1.6600000000000013
Harrison Bryant,TE68,TE,HOU,831,27.4,No,TE70,731,,-1.6700000000000013
Tim Patrick,WR171,WR,JAC,827,31.8,No,WR168,771,,-1.6800000000000013
Riley Leonard,QB49,QB,IND,821,23.0,Yes,QB55,1007,,-1.6900000000000013
Lil'Jordan Humphrey,WR172,WR,NYG,809,27.4,No,WR173,692,,-1.7000000000000013
Foster Moreau,TE69,TE,NOS,797,28.4,No,TE68,755,,-1.7100000000000013
Kenny Pickett,QB50,QB,LVR,788,27.3,No,QB53,1043,,-1.7200000000000013
Justin Watson,WR173,WR,HOU,786,29.5,No,WR174,663,,-1.7300000000000013
Irv Smith,TE70,TE,HOU,773,27.1,No,TE69,739,,-1.7400000000000013
Jelani Woods,TE71,TE,NYJ,771,27.0,No,TE71,704,,-1.7500000000000013
Isaiah Hodgins,WR174,WR,PIT,753,26.9,No,WR172,696,,-1.7600000000000013
Austin Hooper,TE72,TE,NEP,751,30.9,No,TE72,618,,-1.7700000000000014
Trey Lance,QB51,QB,LAC,730,25.4,No,QB52,1047,,-1.7800000000000014
Pierre Strong Jr.,RB120,RB,GBP,729,26.8,No,RB122,641,,-1.7900000000000014
Will Levis,QB52,QB,TEN,701,26.2,No,QB57,922,,-1.8000000000000014
Kalif Raymond,WR175,WR,DET,695,31.1,No,WR175,604,,-1.8100000000000014
Rakim Jarrett,WR176,WR,PIT,691,24.7,No,WR179,557,,-1.8200000000000014
Devin Duvernay,WR177,WR,CHI,682,28.0,No,WR177,572,WR115,1152.99
Trayveon Williams,RB121,RB,CLE,681,27.9,No,RB120,685,,-1.8300000000000014
Aidan O'Connell,QB53,QB,LVR,679,27.0,No,QB58,917,,-1.8400000000000014
Justin Shorter,WR178,WR,LVR,678,25.4,No,WR176,591,,-1.8500000000000014
Zach Wilson,QB54,QB,MIA,668,26.1,No,QB49,1098,,-1.8600000000000014
Travis Homer,RB122,RB,CHI,654,27.1,No,RB124,553,,-1.8700000000000014
Khalil Herbert,RB123,RB,FA,629,27.4,No,RB123,571.99,RB90,1133
K.J. Osborn,WR179,WR,FA,628.99,28.3,No,WR180,542,,-1.8800000000000014
Raheem Mostert,RB124,RB,LVR,617,33.4,No,RB121,644,RB74,1357
Drew Lock,QB55,QB,SEA,614,28.9,No,QB59,913,,-1.8900000000000015
Brenden Rice,WR180,WR,FA,597,23.5,No,WR183,524,,-1.9000000000000015
Terrace Marshall,WR181,WR,FA,574,25.3,No,WR181,541,,-1.9100000000000015
Scotty Miller,WR182,WR,PIT,569,28.1,No,WR178,568,,-1.9200000000000015
Sincere McCormick,RB125,RB,FA,551,25.0,No,RB125,450,,-1.9300000000000015
Nick Nash,WR183,WR,FA,547,25.1,Yes,WR182,537,,-1.9400000000000015
Craig Reynolds,RB126,RB,DET,533,29.3,No,RB126,443,,-1.9500000000000015
Stone Smartt,TE73,TE,NYJ,513,27.0,No,TE77,403,,-1.9600000000000015
Charlie Jones,WR184,WR,CIN,511,26.9,No,WR186,445,,-1.9700000000000015
Tip Reiman,TE74,TE,ARI,510.99,24.0,No,TE76,429,,-1.9800000000000015
Kylen Granson,TE75,TE,PHI,506,27.5,No,TE73,508,,-1.9900000000000015
Tanner McKee,QB56,QB,PHI,492,25.4,No,QB51,1080,,-2.0000000000000013
Hunter Long,TE76,TE,JAC,487,27.1,No,TE74,439,,-2.010000000000001
KJ Hamler,WR186,WR,FA,484,26.2,No,WR184,493,WR155,1038
Ben Skowronek,WR187,WR,PIT,481,28.2,No,WR185,492,,-2.020000000000001
Charlie Kolar,TE77,TE,BAL,451,26.6,No,TE75,438.99,,-2.0300000000000007
Ashton Dulin,WR189,WR,IND,412,28.4,No,WR188,413,,-2.0400000000000005
Bryce Ford-Wheaton,WR190,WR,NYG,405,25.5,No,WR187,415,,-2.0500000000000003
Peyton Hendershot,TE81,TE,FA,385,26.4,No,TE79,375,,-2.06
Mason Rudolph,QB57,QB,PIT,382,30.2,No,QB64,706,,-2.07
Tommy DeVito,QB60,QB,NEP,381,27.1,No,QB67,386,,-2.0799999999999996
Hendon Hooker,QB66,QB,FA,380,27.7,No,QB69,371,,-2.0899999999999994
Tyler Huntley,QB67,QB,BAL,379,27.6,No,QB63,754,,-2.099999999999999
Drew Sample,TE82,TE,CIN,377,29.4,No,TE80,373,,-2.109999999999999
Gardner Minshew,QB68,QB,KCC,374,29.4,No,QB60,820,,-2.1199999999999988
Chase Edmonds,RB141,RB,WAS,371,29.4,No,RB127,392,RB139,944
Marcus Mariota,QB69,QB,WAS,336,31.9,No,QB47,1242.99,,-2.1299999999999986
Tanner Hudson,TE90,TE,CIN,322,30.9,No,TE78,381,,-2.1399999999999983
Kyle McCord,QB70,QB,PHI,252,23.0,Yes,QB61,815,,-2.149999999999998
Joshua Dobbs,QB72,QB,NEP,248,30.6,No,QB68,372,,-2.159999999999998
Tyson Bagent,QB73,QB,CHI,226,25.3,No,QB50,1094,,-2.1699999999999977
Tyrod Taylor,QB74,QB,NYJ,222,36.1,No,QB65,637,,-2.1799999999999975
Davis Mills,QB75,QB,HOU,221.99,26.9,No,QB66,442.99,,-2.1899999999999973
Stetson Bennett,QB76,QB,LAR,218,27.9,No,QB62,773.99,,-2.199999999999997
Jimmy Garoppolo,QB95,QB,LAR,86,33.9,No,QB56,976,,-2.209999999999997
