Updated 09/23/25 at 09:18pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Jaylen Waddle,WR31,WR,MIA,4951,26.8,No,WR31,4048,WR35,5688
Keon Coleman,WR32,WR,BUF,4948,22.4,No,WR32,4024,WR39,5501
2028 Late 1st,,PI,,4904,,,,3868,,-0.08
Cam Skattebo,RB22,RB,NYG,4898,23.6,Yes,RB22,4047.99,RB34,5118
Baker Mayfield,QB11,QB,TBB,4886,30.4,No,QB12,5649,QB6,6641
Trey Benson,RB23,RB,ARI,4852,23.2,No,RB23,3903,RB33,5177
Courtland Sutton,WR33,WR,DEN,4810,30.0,No,WR34,3854,WR21,6483
Terry McLaurin,WR34,WR,WAS,4770,30.0,No,WR33,3928,WR29,6074
Jordan Mason,RB24,RB,MIN,4759,26.3,No,RB24,3847,RB24,5824
Caleb Williams,QB12,QB,CHI,4755,23.8,No,QB10,5946,QB14,5544
Jacory Croskey-Merritt,RB25,RB,WAS,4735,24.4,Yes,RB25,3846,RB26,5766
Colston Loveland,TE7,TE,CHI,4733,21.4,Yes,TE7,3981,TE11,4868
Quentin Johnston,WR35,WR,LAC,4627,24.0,No,WR35,4627,WR57,4101
Javonte Williams,RB26,RB,DAL,4613,25.4,No,RB26,3822,RB22,6167
Harold Fannin,TE8,TE,CLE,4578,21.2,Yes,TE8,3771,TE18,3938
D.J. Moore,WR36,WR,CHI,4554,28.4,No,WR37,3597,WR34,5709
C.J. Stroud,QB13,QB,HOU,4549,24.0,No,QB15,5138,QB18,5083
Cam Ward,QB14,QB,TEN,4485,23.3,Yes,QB14,5149,QB22,4475
Bhayshul Tuten,RB27,RB,JAC,4456,22.6,Yes,RB27,3601,,-0.09
Davante Adams,WR37,WR,LAR,4445,32.7,No,WR36,3625,WR20,6509
Alvin Kamara,RB28,RB,NOS,4424,30.2,No,RB28,3445,RB14,6869
Luther Burden,WR38,WR,CHI,4354,21.8,Yes,WR38,3461,WR65,3744
Zach Charbonnet,RB29,RB,SEA,4352,24.7,No,RB30,3397,RB32,5259
Jaylen Warren,RB30,RB,PIT,4345,26.9,No,RB31,3389,RB30,5620
Mike Evans,WR39,WR,TBB,4308,32.1,No,WR40,3433,WR22,6376
Kyler Murray,QB15,QB,ARI,4299,28.1,No,QB16,5004,QB11,5805
Michael Pittman,WR40,WR,IND,4297,28.0,No,WR39,3439,WR38,5511
Brock Purdy,QB16,QB,SFO,4277,25.7,No,QB13,5228,QB17,5283
David Montgomery,RB31,RB,DET,4236,28.3,No,RB29,3431,RB29,5672
2026 Early 2nd,,PI,,4231,,,,3362,,-0.09999999999999999
Dalton Kincaid,TE9,TE,BUF,4191,25.9,No,TE9,3375,TE13,4751
2027 Early 2nd,,PI,,4142,,,,3368,,-0.10999999999999999
J.J. McCarthy,QB17,QB,MIN,4137,22.7,No,QB20,4605,QB20,4875
Elic Ayomanor,WR41,WR,TEN,4124,22.3,Yes,WR41,3331,WR63,3920
Tyreek Hill,WR42,WR,MIA,4104,31.6,No,WR43,3277,WR28,6087
Jakobi Meyers,WR43,WR,LVR,4099,28.9,No,WR42,3292,WR30,5944
Jerry Jeudy,WR44,WR,CLE,4098,26.4,No,WR44,3216,WR37,5540
Michael Penix Jr.,QB18,QB,ATL,4094,25.4,No,QB19,4619,QB21,4760
D'Andre Swift,RB32,RB,CHI,4049,26.7,No,RB33,3195,RB23,5869
Josh Downs,WR45,WR,IND,4030,24.1,No,WR47,3178,WR47,4938
Tony Pollard,RB33,RB,TEN,4014,28.4,No,RB34,3164,RB25,5765.99
Deebo Samuel,WR46,WR,WAS,4003,29.7,No,WR45,3203,WR36,5648
T.J. Hockenson,TE10,TE,MIN,3977,28.2,No,TE10,3193,TE7,5272
Jayden Higgins,WR47,WR,HOU,3970,22.8,Yes,WR49,3152,WR58,4076
Jayden Reed,WR48,WR,GBP,3955,25.4,No,WR50,3151,WR54,4328
J.K. Dobbins,RB34,RB,DEN,3946,26.8,No,RB32,3217,RB28,5706
Jaxson Dart,QB19,QB,NYG,3909,22.4,Yes,QB17,4844,QB56,1026
Brandon Aiyuk,WR49,WR,SFO,3906,27.5,No,WR46,3198,WR53,4451
Kyle Pitts,TE11,TE,ATL,3897,25.0,No,TE11,3186,TE9,5122
Khalil Shakir,WR50,WR,BUF,3889,25.6,No,WR48,3159,WR44,5258.99
2026 Mid 2nd,,PI,,3868,,,,3156,,-0.11999999999999998
Dak Prescott,QB20,QB,DAL,3866,32.2,No,QB21,4548,QB13,5559
Kaleb Johnson,RB35,RB,PIT,3831,22.1,Yes,RB35,3055,RB40,4258
Jake Ferguson,TE12,TE,DAL,3825,26.7,No,TE12,3128,TE10,4965
Dylan Sampson,RB36,RB,CLE,3807,21.0,Yes,RB37,2970,RB39,4546
Trevor Lawrence,QB21,QB,JAC,3786,26.0,No,QB22,4393,QB19,4927
Jared Goff,QB22,QB,DET,3763,30.9,No,QB18,4791,QB16,5514
2027 Mid 2nd,,PI,,3752,,,,3080,,-0.12999999999999998
Chris Godwin,WR51,WR,TBB,3741,29.6,No,WR52,3065,WR50,4657
Cedric Tillman,WR52,WR,CLE,3740,25.4,No,WR57,2938,WR48,4808
Ollie Gordon,RB37,RB,MIA,3723,21.7,Yes,RB36,3045,RB43,4112
Justin Fields,QB23,QB,NYJ,3708,26.6,No,QB25,3668,QB15,5516
Jauan Jennings,WR53,WR,SFO,3706,28.2,No,WR54,2990,WR42,5286
Troy Franklin,WR54,WR,DEN,3689,22.6,No,WR51,3090,WR62,3937
Isaac TeSlaa,WR55,WR,DET,3673,23.6,Yes,WR53,3006,,-0.13999999999999999
2028 Early 2nd,,PI,,3668,,,,2942,,-0.15
Braelon Allen,RB38,RB,NYJ,3655,21.7,No,RB38,2883,RB37,4682
Isaiah Likely,TE13,TE,BAL,3638,25.4,No,TE13,3022,TE21,3745
2026 Late 2nd,,PI,,3605,,,,2980,,-0.16
Calvin Ridley,WR56,WR,TEN,3599,30.8,No,WR62,2851,WR46,4975
Wan'Dale Robinson,WR57,WR,NYG,3568,24.7,No,WR55,2968,WR64,3856
David Njoku,TE14,TE,CLE,3542,29.2,No,TE15,2860,TE12,4759.99
Bryce Young,QB24,QB,CAR,3541,24.2,No,QB24,3768,QB23,4240
Brenton Strange,TE15,TE,JAC,3539,24.7,No,TE14,2873,,-0.17
Dont'e Thornton,WR58,WR,LVR,3538.99,22.8,Yes,WR60,2862,,-0.18000000000000002
Tory Horton,WR59,WR,SEA,3528,22.8,Yes,WR56,2948,WR68,3573
Romeo Doubs,WR60,WR,GBP,3523,25.4,No,WR63,2849,WR66,3743
Tyrone Tracy,RB39,RB,NYG,3481,25.8,No,RB40,2739,RB38,4602
