gm,player,position,y2025,y2026,y2027,y2028,y2029,total
Joe Stanek,Luke Musgrave,TE,$1,"","","","",$1
Joe Stanek,Nolan Smith,DL,$1,"","","","",$1
Joe Stanek,Junior Colson,DB,$1,$1,"","","",$2
Joe Stanek,Emmanuel Forbes,DB,$1,"","","","",$1
Kevin Eichenbaum,Will Levis,QB,$1,$1,$1,"","",$3
Kevin Eichenbaum,Zamir White,RB,$5,$4,$4,"","",$13
Kevin Eichenbaum,Jerome Ford,RB,$3,$2,$2,"","",$7
Kevin Eichenbaum,Jaleel McLaughlin,RB,$2,$2,$2,"","",$6
Kevin Eichenbaum,Nick Chubb,RB,$24,$13,"","","",$37
Kevin Eichenbaum,Joshua Kelley,RB,$1,$2,"","","",$3
Kevin Eichenbaum,Gus Edwards,RB,$2,"","","","",$2
Kevin Eichenbaum,Elijah Mitchell,RB,$2,"","","","",$2
Kevin Eichenbaum,DJ Giddens,RB,$1,"","","","",$1
Kevin Eichenbaum,Tre Tucker,WR,$1,$1,$1,$1,"",$4
Kevin Eichenbaum,Devaugh Vele,WR,$1,$1,$1,$1,"",$4
Kevin Eichenbaum,Wan'Dale Robinson,WR,$1,$1,$1,$1,"",$4
Kevin Eichenbaum,Michael Wilson,WR,$1,$1,$2,"","",$4
Kevin Eichenbaum,Rashid Shaheed,WR,$1,$1,$1,"","",$3
Kevin Eichenbaum,Robert Woods,WR,$1,"","","","",$1
Kevin Eichenbaum,K.J. Osborn,WR,$1,"","","","",$1
Kevin Eichenbaum,Isaiah Likely,TE,$3,$3,$3,$4,"",$13
Kevin Eichenbaum,Jake Ferguson,TE,$1,$1,$2,"","",$4
Kevin Eichenbaum,Jermaine Johnson II,DL,$1,$1,$1,$1,"",$4
Kevin Eichenbaum,Haason Reddick,DL,$2,$1,"","","",$3
Kevin Eichenbaum,Jalen Carter,DL,$1,"","","","",$1
Kevin Eichenbaum,Dorian Williams,LB,$1,$1,$1,$1,"",$4
Kevin Eichenbaum,Josey Jewell,LB,$1,"","","","",$1
Kevin Eichenbaum,Trevon Diggs,DB,$1,"","","","",$1
Kevin Eichenbaum,C.J. Gardner-Johnson,DB,$1,"","","","",$1
Kevin Eichenbaum,Tykee Smith,DB,$1,"","","","",$1
Kevin Eichenbaum,Marlon Humphrey,DB,$1,"","","","",$1
Kevin Eichenbaum,Clevland Browns,D/ST,$1,"","","","",$1
Nick McCreary,Chase Edmonds,RB,$3,"","","","",$3
Nick McCreary,Jonathan Mingo,WR,$1,"","","","",$1
Nick McCreary,Michael Meyer,TE,$1,"","","","",$1
Nick Piper,Anthony Richardson,QB,$2,"","","","",$2
Nick Piper,Dameon Pierce,RB,$1,$1,$1,"","",$3
Nick Piper,Carson Steele,RB,$1,$1,"","","",$2
Nick Piper,Christian Kirk,WR,$7,$5,$6,$6,"",$24
Nick Piper,Jacob Cowing,WR,$1,$1,$1,$1,"",$4
Nick Piper,Jordan Whittington,WR,$1,$1,$1,$1,"",$4
Nick Piper,Treylon Burks,WR,$1,$1,$1,"","",$3
Nick Piper,Jalin Hyatt,WR,$1,"","","","",$1
Nick Piper,Erick All,TE,$1,$1,$1,$1,"",$4
Nick Piper,Jake Ferguson,TE,$1,$1,$1,"","",$3
Nick Piper,Noah Fant,TE,$1,$1,"","","",$2
Nick Piper,Cole Kmet,TE,$2,"","","","",$2
Nick Piper,Evan Engram,TE,$1,"","","","",$1
Nick Piper,Brevin Jordan,TE,$1,"","","","",$1
Nick Piper,Jalen Carter,DL,$1,$1,$1,$1,"",$4
Nick Piper,Jaelan Phillips,DL,$1,$1,$1,"","",$3
Nick Piper,Montez Sweat,DL,$1,"","","","",$1
Nick Piper,Kayvon Thibodeaux,LB,$1,$1,$1,$1,"",$4
Nick Piper,Devin White,LB,$2,$2,"","","",$4
Nick Piper,Tariq Woolen,DB,$1,"","","","",$1
Nick Piper,Baltimore Ravens,D/ST,$1,$1,"","","",$2
TJ Hrabek,Miles Sanders,RB,$5,$5,"","","",$10
TJ Hrabek,Jaleel McLaughlin,RB,$2,$1,"","","",$3
TJ Hrabek,Ty Chandler,RB,$1,$1,"","","",$2
TJ Hrabek,Dameon Pierce,RB,$8,"","","","",$8
TJ Hrabek,Evan Hull,RB,$1,"","","","",$1
TJ Hrabek,Emanuel Wilson,RB,$1,"","","","",$1
TJ Hrabek,DeAndre Hopkins,WR,$5,$5,"","","",$10
TJ Hrabek,Tyler Lockett,WR,$1,"","","","",$1
TJ Hrabek,Evan Engram,TE,$2,$2,$1,"","",$5
TJ Hrabek,Jelani Woods,TE,$2,"","","","",$2
TJ Hrabek,Taysom Hill,TE,$1,"","","","",$1
TJ Hrabek,Boye Mafe,DL,$1,$1,"","","",$2
TJ Hrabek,Keion White,DL,$1,$1,"","","",$2
TJ Hrabek,Kwity Paye,DL,$1,"","","","",$1
TJ Hrabek,Quinnen Williams,DL,$1,"","","","",$1
TJ Hrabek,Shaquille Leonard,LB,$3,$3,"","","",$6
TJ Hrabek,Nik Bonitto,LB,$1,$1,"","","",$2
TJ Hrabek,Patrick Queen,LB,$1,$1,"","","",$2
TJ Hrabek,Robert Spillane,LB,$1,"","","","",$1
TJ Hrabek,Christian Gonzalez,DB,$1,$1,$1,"","",$3
TJ Hrabek,Marcus Williams,DB,$1,$1,"","","",$2
TJ Hrabek,Devon Witherspoon,DB,$1,$1,"","","",$2
TJ Hrabek,Nick Cross,DB,$1,$1,"","","",$2
TJ Hrabek,Jaylon Jones,DB,$1,"","","","",$1
TJ Hrabek,Jalen Pitre,DB,$1,"","","","",$1
TJ Hrabek,Philadelphia Eagles,D/ST,$1,$1,"","","",$2
TJ Hrabek,Philadelphia Eagles (x2),D/ST,$1,$1,"","","",$2
TJ Hrabek,Pittsburgh Steelers,D/ST,$1,"","","","",$1
TJ Hrabek,Jake Bates,K,$1,"","","","",$1
TRANSACTIONS,,,,,,,,
