name,position,team,value
"Ray Davis",RB,BUF,47.1850
"Terrance Ferguson",TE,LAR,47.0909
"Wan'Dale Robinson",WR,NYG,47.0133
"Jaydon Blue",RB,DAL,46.3193
2027.3,0,0,45.3750
"Marvin Mims",WR,DEN,44.8363
"Jarquez Hunter",RB,LAR,44.7207
"Jaxson Dart",QB,NYG,44.4272
"Bryce Young",QB,CAR,43.9838
"Blake Corum",RB,LAR,43.7339
"Adonai Mitchell",WR,IND,43.0570
"Rachaad White",RB,TB,42.6204
"DJ Giddens",RB,IND,42.3586
"Cedric Tillman",WR,CLE,42.0795
"Marquise Brown",WR,KC,41.3587
"Devin Neal",RB,NO,40.7268
"Harold Fannin",TE,CLE,40.2409
"Jaylin Noel",WR,HOU,40.0925
"Jonnu Smith",TE,PIT,39.2680
"Tyler Allgeier",RB,ATL,39.2108
"Nick Chubb",RB,HOU,39.0621
"Dallas Goedert",TE,PHI,38.2970
"Jordan James",RB,SF,38.1583
"Elijah Arroyo",TE,SEA,37.5769
"Xavier Legette",WR,CAR,36.7006
"Sam Darnold",QB,SEA,35.6415
"Daniel Jones",QB,IND,35.1128
"Trevor Etienne",RB,CAR,34.9350
"Romeo Doubs",WR,GB,34.0192
"Matthew Stafford",QB,LAR,33.1613
"Keenan Allen",WR,LAC,32.9474
"Jalen Royals",WR,KC,32.8430
"Tua Tagovailoa",QB,MIA,32.7249
"Jalen McMillan",WR,TB,32.5987
"Elic Ayomanor",WR,TEN,31.2121
"Troy Franklin",WR,DEN,30.7382
"Isaac TeSlaa",WR,DET,29.5697
"Ollie Gordon",RB,MIA,28.7124
"Anthony Richardson",QB,IND,27.6715
"Geno Smith",QB,LV,26.5935
"Dont'e Thornton",WR,LV,25.9637
"Jaylen Wright",RB,MIA,25.6308
"Brenton Strange",TE,JAC,25.2544
"Isaac Guerendo",RB,SF,25.2534
"Kendre Miller",RB,NO,24.5540
"Chigoziem Okonkwo",TE,TEN,24.5458
"Christian Kirk",WR,HOU,24.2744
"Woody Marks",RB,HOU,23.3224
"MarShawn Lloyd",RB,GB,23.2151
"Austin Ekeler",RB,WAS,22.6551
"Jalen Coker",WR,CAR,22.4987
"Zach Ertz",TE,WAS,21.8532
"Kayshon Boutte",WR,NE,21.8188
"Cole Kmet",TE,CHI,21.6907
"Juwan Johnson",TE,NO,21.1404
"Pat Freiermuth",TE,PIT,20.7552
"Cade Otton",TE,TB,20.3749
"Dontayvion Wicks",WR,GB,20.2403
"Christian Watson",WR,GB,19.9305
"Tank Dell",WR,HOU,19.7780
"Josh Palmer",WR,BUF,19.7512
"Jonathon Brooks",RB,CAR,19.6449
"DeAndre Hopkins",WR,BAL,18.7101
